text,kmeans_10_direct,kmeans_15_direct,kmeans_20_direct,hdbscan_10_direct,hdbscan_15_direct,hdbscan_20_direct,kmeans_10_pca,kmeans_10_umap,kmeans_15_pca,kmeans_15_umap,kmeans_20_pca,kmeans_20_umap,hdbscan_10_pca,hdbscan_10_umap,hdbscan_15_pca,hdbscan_15_umap,hdbscan_20_pca,hdbscan_20_umap
Härteprüfung Sandausbruch Kernschale Verschleiß vs Lunker,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Bearbeitungsfehler Sandausbruch HandlingSchaden Teil,7,14,14,74,65,45,7,5,7,5,17,5,-1,69,-1,52,-1,-1
Ausschuss Funktionstest an Radträger Ursache Gießtemp zu niedrig °C °C Normabweichung,3,3,3,70,59,42,2,4,12,4,16,7,32,20,24,16,-1,8
Spektralanalyse zeigt SiMangel Charge Schleifnacharbeit notwendig,1,12,12,2,1,0,5,3,2,3,2,17,62,10,-1,7,32,2
Röntgenprüfung zeigt Formversatz in Zone Sandausbruch Kernreparatur läuft,9,11,15,53,45,29,2,4,0,0,16,0,44,117,-1,60,-1,43
Kernbruch Ursache HandlingSchaden konform,3,14,14,92,78,57,9,4,2,4,2,4,56,33,38,24,30,11
Kernbruch ¦ Ursache Sandbindermangel ¦ Normabweichung Kernreparatur läuft,5,5,16,-1,72,51,7,5,5,5,19,15,-1,116,-1,76,-1,55
Schmelzofen Holding Furnace TempAbweichung °C,6,6,19,78,67,49,9,4,12,4,12,4,24,21,17,17,14,9
Dichtheitsprüfung Fehler Sandbindermangel mbarmin vs max Kernschale Verschleiß Prüfbericht Wärmenachbehandlung eingeleitet,5,5,5,31,28,7,9,1,9,13,17,13,-1,88,-1,64,-1,46
Härteprüfung Sandausbruch HandlingSchaden vs Lunker,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Ausschuss Materialfehler an Radträger Ursache Sandfeuchte zu hoch ≥ Prüfbericht Nacharbeit gemäß,3,3,3,87,75,54,2,5,14,5,0,5,-1,96,-1,73,-1,50
Dichtheitsprüfung Fehler Lunker mbarmin vs max Sandbindermangel Normabweichung Kernreparatur läuft,5,5,5,31,28,7,9,1,2,13,17,13,-1,87,-1,64,-1,46
Oberflächenrauheit Kernschale Verschleiß außerhalb Spezifikation nicht konform Wärmenachbehandlung eingeleitet,1,10,10,17,13,10,5,3,10,3,10,17,-1,7,-1,6,-1,2
Lunker an Zylinderkopf Charge Chargenanalyse Mg Ti Schleifnacharbeit notwendig,4,4,4,58,50,35,6,1,6,1,6,1,2,98,2,50,2,36
Härteprüfung Lunker Kernschale Verschleiß vs Lunker Kernreparatur läuft,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Qualitätsabweichung Kernschale Verschleiß HandlingSchaden Raueit Ra Nacharbeit gemäß,7,14,14,44,38,25,5,6,2,12,2,16,-1,16,-1,14,-1,6
Legierungsabweichung Ti Kaltlauf vs Soll Lunker Schleifnacharbeit notwendig,4,13,13,59,51,36,3,9,3,9,3,18,4,114,4,83,3,61
Schmelzofen Holding Furnace TempAbweichung °C Gießparameter optimiert,6,6,19,46,-1,-1,4,2,4,14,4,14,-1,77,13,45,11,32
Sandfeuchte Lunker außerhalb Toleranz konform Schleifnacharbeit notwendig,0,0,0,27,23,18,2,9,14,9,0,9,-1,35,-1,28,-1,19
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Sandbindermangel Wärmenachbehandlung eingeleitet,5,5,5,31,28,7,7,1,7,13,17,13,37,88,28,64,22,46
Qualitätsabweichung Sandbindermangel Kaltlauf Raueit Ra Verdacht Sandfeuchteabweichung,5,5,5,45,39,25,9,4,2,0,17,0,43,85,30,67,24,44
Bearbeitungsfehler Lunker Sandbindermangel Teil Normabweichung,5,5,16,85,73,52,5,9,5,9,5,9,-1,60,-1,25,-1,17
Oberflächenrauheit Sandbindermangel außerhalb Spezifikation Normabweichung,5,5,5,5,3,2,9,2,9,14,9,14,15,43,12,35,10,18
Maßabweichung Kaltlauf Lunkermm vs Sandausbruch±Lunkermm Gießparameter optimiert,9,9,9,80,69,26,9,7,9,0,9,0,-1,64,-1,49,-1,34
Formdruckabweichung HandlingSchaden vs Lunker Form,1,11,11,25,21,16,7,9,5,9,19,18,-1,107,-1,74,-1,53
Lunker an Radträger Charge nicht konform Nacharbeit gemäß,8,8,8,63,53,40,0,6,11,6,11,16,34,93,25,69,19,51
Bearbeitungsfehler Sandausbruch Sandausbruch Teil Normabweichung,5,5,16,85,73,52,5,9,10,9,10,9,-1,60,-1,25,-1,17
Röntgenprüfung zeigt Formversatz in Zone Lunker,9,11,15,53,45,29,2,4,0,0,16,0,-1,118,-1,60,-1,43
Legierungsabweichung Ti Lunker vs Soll Lunker Normabweichung Gießparameter optimiert,9,9,9,19,15,-1,2,1,0,1,0,1,-1,66,-1,51,-1,-1
Maßabweichung Sandbindermangel Kernschale Verschleißmm vs Kaltlauf±Sandausbruchmm Verdacht Legierungsdrift,2,2,2,4,4,3,1,0,1,10,1,10,0,41,0,33,0,23
Kaltlauf an Zylinderkopf Charge Normabweichung Kernreparatur läuft,8,8,8,62,52,38,0,5,11,5,14,5,-1,99,-1,66,-1,48
Legierungsabweichung Si Kernschale Verschleiß vs Soll Kaltlauf,5,13,13,65,-1,37,8,0,13,10,13,10,7,79,7,54,5,39
Bearbeitungsfehler Kaltlauf Sandausbruch Teil,5,5,16,91,72,51,2,5,2,5,18,15,64,101,43,75,32,54
Formdruckabweichung Sandbindermangel vs Lunker ¦ Form,5,11,11,26,22,17,7,0,7,10,19,15,-1,58,-1,-1,-1,-1
Sandfeuchte Sandbindermangel außerhalb Toleranz Wärmenachbehandlung eingeleitet,0,0,0,33,30,-1,9,5,12,2,12,2,-1,6,-1,5,17,-1
Maßabweichung Sandausbruch Lunkermm vs Sandausbruch±Kernschale Verschleißmm,2,2,2,4,4,3,1,0,1,10,1,10,0,-1,0,39,0,27
Bearbeitungsfehler Sandbindermangel Lunker Teil Prüfbericht,5,5,16,91,72,51,2,5,2,5,2,15,-1,101,-1,75,32,54
Schmelzofen Schmelzofen TempAbweichung °C Verdacht Legierungsdrift Nacharbeit gemäß,6,6,6,-1,61,44,7,8,7,8,7,8,-1,0,-1,1,-1,0
Qualitätsabweichung Lunker Lunker ¦ Dickenmaß ¦ Normabweichung,7,7,7,55,47,32,7,9,5,9,19,9,-1,56,-1,37,-1,25
Maßabweichung Lunker Sandbindermangelmm vs Sandbindermangel±Kernschale Verschleißmm teilkonform,2,2,2,4,4,3,1,0,1,10,1,10,0,126,0,39,0,27
Spektralanalyse zeigt TiMangel Charge Normabweichung Kernreparatur läuft,1,12,12,37,33,22,0,0,10,6,5,6,31,80,23,54,18,39
Maßabweichung HandlingSchaden Lunkermm vs HandlingSchaden±Sandbindermangelmm Normabweichung,2,2,2,4,4,3,1,0,1,10,1,10,0,129,0,39,0,27
Spektralanalyse zeigt TiMangel Charge Normabweichung Wärmenachbehandlung eingeleitet,1,12,12,37,33,22,5,0,10,6,10,6,-1,80,-1,54,-1,39
Sandfeuchte Sandausbruch außerhalb Toleranz Gießparameter optimiert,9,9,0,0,0,-1,4,7,4,7,4,7,16,61,-1,46,-1,31
Bearbeitungsfehler Kaltlauf HandlingSchaden Teil Verdacht Formüberhitzung,7,14,14,76,64,45,7,0,5,10,19,10,-1,81,-1,61,-1,40
Formdruckabweichung Kaltlauf vs Sandausbruch Form Prüfbericht Schleifnacharbeit notwendig,5,11,11,39,35,12,5,5,5,13,19,13,59,105,41,81,34,49
Schmelzofen Schmelzofen TempAbweichung °C Verdacht Formüberhitzung,6,6,6,-1,61,44,7,8,7,8,17,8,37,0,28,1,22,0
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max Sandbindermangel Verdacht Legierungsdrift,5,5,5,32,29,7,5,1,2,13,2,13,-1,84,-1,65,-1,47
Kernbruch Ursache Sandbindermangel,3,3,3,86,74,53,9,3,9,11,9,11,14,3,11,4,9,1
Röntgenprüfung zeigt Kokillenriss in Zone Kaltlauf Prüfbericht Kernreparatur läuft,8,13,15,51,43,30,5,7,10,7,10,19,51,19,34,12,28,5
Sandfeuchte Sandbindermangel außerhalb Toleranz Prüfbericht Gießparameter optimiert,9,9,0,0,0,-1,4,7,4,7,4,7,17,61,14,46,12,31
Schmelzofen Holding Furnace TempAbweichung °C Nacharbeit gemäß,6,6,19,-1,-1,-1,2,6,0,6,16,6,30,40,-1,30,-1,21
Sandfeuchte Kernschale Verschleiß außerhalb Toleranz Nacharbeit gemäß,0,0,0,41,37,24,2,3,0,3,16,17,42,25,29,20,23,14
Formdruckabweichung Lunker vs Sandbindermangel Form Prüfbericht Nacharbeit gemäß,5,11,11,26,22,17,7,0,7,10,7,15,47,58,-1,-1,-1,-1
Härteprüfung Sandausbruch Kaltlauf vs Sandausbruch Prüfbericht Wärmenachbehandlung eingeleitet,2,2,2,4,4,3,1,0,1,10,1,10,0,78,0,-1,0,38
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Sandausbruch Gießparameter optimiert,9,9,9,24,20,-1,4,1,4,12,4,12,17,31,14,26,12,13
Oberflächenrauheit Kaltlauf außerhalb Spezifikation Normabweichung,1,10,10,18,14,10,5,3,10,3,10,3,-1,12,-1,10,-1,4
Qualitätsabweichung Sandbindermangel Sandbindermangel Porosität Prüfbericht,7,7,7,49,41,28,9,9,2,9,2,18,-1,103,-1,79,-1,58
Ausschuss Funktionstest an Radträger Ursache Sandfeuchte zu hoch ≥ Chargenanalyse Mg Ti Schleifnacharbeit notwendig,4,4,4,58,50,35,6,1,6,1,6,1,2,-1,2,50,2,36
Schmelzofen Schmelzofen TempAbweichung °C Kernreparatur läuft,6,6,6,71,60,43,5,0,2,0,2,0,-1,91,-1,68,32,44
Schmelzofen Holding Furnace TempAbweichung °C Wärmenachbehandlung eingeleitet,6,6,18,77,66,48,0,6,10,6,10,6,-1,40,-1,30,-1,21
Spektralanalyse zeigt TiMangel Charge Prüfbericht Schleifnacharbeit notwendig,1,12,12,36,32,21,0,6,11,6,11,6,-1,40,-1,30,-1,21
Röntgenprüfung zeigt Kaltlauf in Zone Kaltlauf,1,10,15,42,25,19,7,4,5,4,19,7,-1,22,-1,16,-1,8
Bearbeitungsfehler HandlingSchaden Lunker Teil Nacharbeit gemäß,7,14,14,76,64,45,5,0,5,10,19,10,58,81,40,61,33,40
Maßabweichung Sandbindermangel Sandbindermangelmm vs Sandbindermangel±Sandausbruchmm Chargenanalyse Mg Ti,4,4,4,58,50,35,6,1,6,1,6,1,2,72,2,56,2,35
Legierungsabweichung Ti HandlingSchaden vs Soll Kaltlauf Verdacht Formüberhitzung,4,13,13,59,51,36,3,9,3,9,3,18,4,114,4,83,3,61
Ausschuss Materialfehler an Radträger Ursache Legierungsabweichung Si Verdacht Sandfeuchteabweichung,3,3,3,87,75,54,2,5,14,5,0,5,39,96,26,73,20,50
Härteprüfung Sandausbruch HandlingSchaden vs Kaltlauf Verdacht Legierungsdrift,2,2,2,4,4,3,1,0,1,10,1,10,0,41,0,33,0,23
Qualitätsabweichung Kaltlauf Sandausbruch Raueit Ra nicht konform,3,3,17,45,39,25,2,7,0,7,0,7,54,62,36,47,27,31
Kokillenriss an Radträger Charge Normabweichung,8,8,8,63,53,40,0,6,11,6,11,16,-1,94,-1,69,-1,51
Formdruckabweichung Kernschale Verschleiß vs Sandbindermangel Form Nacharbeit gemäß,5,11,11,38,34,12,7,5,7,13,7,13,-1,120,-1,85,-1,49
Schmelzofen Holding Furnace TempAbweichung °C,6,6,19,78,67,49,9,4,12,4,12,4,24,21,17,17,14,9
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max Lunker nicht konform Schleifnacharbeit notwendig,1,1,1,9,7,6,5,7,10,7,10,19,-1,30,-1,19,-1,12
Oberflächenrauheit Lunker außerhalb Spezifikation,1,1,1,11,9,8,2,6,0,6,18,6,49,38,33,29,26,20
Spektralanalyse zeigt TiMangel Charge Chargenanalyse C Si Schleifnacharbeit notwendig,1,12,12,36,32,21,0,2,11,14,11,14,-1,42,-1,34,-1,18
Oberflächenrauheit Kaltlauf außerhalb Spezifikation Prüfbericht,1,10,10,18,14,10,2,3,2,3,18,3,64,12,43,10,32,4
Lunker an Radträger Charge teilkonform,8,8,8,63,53,40,0,6,11,6,11,16,34,93,25,69,19,51
Maßabweichung Kernschale Verschleiß Kernschale Verschleißmm vs Kaltlauf±Lunkermm ¦ Prüfbericht Wärmenachbehandlung eingeleitet,2,2,2,4,4,3,1,0,1,10,1,10,0,125,0,39,0,27
Qualitätsabweichung Sandausbruch Sandbindermangel Dickenmaß Nacharbeit gemäß,7,7,7,55,47,32,7,9,7,9,17,9,-1,56,-1,37,-1,25
Härteprüfung HandlingSchaden Lunker vs HandlingSchaden teilkonform Nacharbeit gemäß,2,2,2,4,4,3,1,0,1,10,1,10,0,70,0,53,0,37
Röntgenprüfung zeigt Formversatz in Zone Sandausbruch,9,11,15,53,45,29,2,4,0,0,16,0,-1,117,-1,60,-1,43
Schmelzofen Schmelzofen TempAbweichung °C,6,6,6,83,61,44,9,8,9,8,17,8,21,5,15,0,13,0
Kokillenriss an Radträger Charge,8,8,8,63,53,40,0,6,11,6,11,16,33,94,25,69,19,51
Röntgenprüfung zeigt Lunker in Zone Kernschale Verschleiß Gießparameter optimiert,9,9,15,52,44,29,4,1,4,1,4,1,-1,52,13,43,11,26
Härteprüfung Kernschale Verschleiß Kaltlauf vs HandlingSchaden ¦ Prüfbericht,2,2,2,4,4,3,1,0,1,10,1,10,0,123,0,88,0,38
Bearbeitungsfehler Lunker Kaltlauf Teil Normabweichung Wärmenachbehandlung eingeleitet,1,1,16,85,73,52,5,9,10,9,5,9,-1,60,-1,25,-1,17
Schmelzofen Schmelzofen TempAbweichung °C ¦ konform Schleifnacharbeit notwendig,6,6,6,71,60,43,5,0,10,0,10,0,-1,91,-1,68,-1,44
Formversatz an Getriebegehäuse Charge,8,8,8,67,56,39,0,6,14,6,14,16,25,83,18,63,15,45
Formdruckabweichung Lunker vs Sandbindermangel Form,5,11,11,26,22,17,7,0,7,10,7,15,47,58,-1,-1,-1,-1
Härteprüfung Kaltlauf Sandausbruch vs HandlingSchaden Normabweichung,2,2,2,4,4,3,1,0,1,10,1,10,0,123,0,88,0,38
Legierungsabweichung Cu Sandbindermangel vs Soll Sandausbruch Verdacht Formüberhitzung,4,13,13,57,48,33,8,9,13,9,13,9,5,102,5,78,4,57
Röntgenprüfung zeigt Formversatz in Zone Lunker Prüfbericht Schleifnacharbeit notwendig,9,11,15,53,45,29,2,4,0,0,16,0,44,118,-1,60,-1,43
Maßabweichung Kaltlauf Sandausbruchmm vs Lunker±Sandbindermangelmm Normabweichung,2,2,2,4,4,3,1,0,1,10,1,10,0,126,0,39,0,27
Kernbruch Ursache HandlingSchaden Kernreparatur läuft,3,14,14,93,78,57,5,4,2,4,2,4,-1,34,-1,24,32,11
Qualitätsabweichung Sandbindermangel HandlingSchaden Dickenmaß,7,7,7,54,46,31,7,9,7,9,7,9,-1,54,-1,36,-1,24
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max HandlingSchaden Gießparameter optimiert,9,9,9,24,20,-1,4,1,4,12,4,12,18,31,13,26,11,13
Röntgenprüfung zeigt Lunker in Zone Kaltlauf,1,11,1,23,19,14,5,5,2,2,2,18,60,27,39,22,31,16
Kernbruch Ursache Sandbindermangel,3,3,3,86,74,53,9,3,9,11,9,11,14,3,11,4,9,1
Ausschuss Funktionstest an Zylinderkopf Ursache Lunker Nacharbeit gemäß,3,3,17,89,77,56,9,4,2,4,18,4,29,24,22,18,-1,10
Formdruckabweichung Kernschale Verschleiß vs Sandbindermangel Form Prüfbericht Nacharbeit gemäß,5,11,11,38,34,12,7,5,7,13,7,13,-1,120,-1,85,-1,49
Spektralanalyse zeigt MgMangel ¦ Charge Kernreparatur läuft,1,12,12,30,27,15,2,1,2,13,18,1,-1,51,-1,42,32,26
Röntgenprüfung zeigt Lunker in Zone Kaltlauf Prüfbericht Nacharbeit gemäß,1,11,1,23,19,14,5,5,2,2,2,18,-1,27,-1,22,-1,16
Formdruckabweichung Kernschale Verschleiß vs Sandausbruch Form Prüfbericht,5,11,11,39,35,12,5,5,2,13,2,13,60,105,39,81,31,49
Spektralanalyse zeigt SiMangel Charge Prüfbericht Schleifnacharbeit notwendig,1,12,12,2,1,0,9,3,2,3,2,17,-1,10,-1,7,-1,2
Schmelzofen Schmelzofen TempAbweichung °C Nacharbeit gemäß,6,6,6,-1,61,44,9,8,9,8,17,8,46,0,31,1,25,0
Oberflächenrauheit Kaltlauf außerhalb Spezifikation,1,10,10,18,14,10,2,3,2,3,18,3,63,13,42,11,32,4
Gasporosität an Getriebegehäuse Charge Prüfbericht,8,8,8,60,49,34,0,6,11,6,14,6,25,39,18,30,15,21
Schmelzofen Schmelzofen TempAbweichung °C,6,6,6,84,61,44,9,8,9,8,17,8,20,-1,15,0,13,0
Spektralanalyse zeigt SiMangel Charge Chargenanalyse Mg Ti,1,12,12,36,32,21,0,2,14,14,14,14,-1,42,27,34,21,18
Qualitätsabweichung Lunker Kernschale Verschleiß Dickenmaß Chargenanalyse Mg Ti Wärmenachbehandlung eingeleitet,4,4,4,58,50,35,6,1,6,1,6,1,2,98,2,50,2,36
Bearbeitungsfehler HandlingSchaden Kaltlauf Teil Prüfbericht Wärmenachbehandlung eingeleitet,7,14,14,76,64,45,5,0,5,10,19,10,40,81,-1,61,-1,40
Härteprüfung HandlingSchaden Kaltlauf vs HandlingSchaden Normabweichung Nacharbeit gemäß,2,2,2,4,4,3,1,0,1,10,1,10,0,70,0,53,0,37
Bearbeitungsfehler Kernschale Verschleiß Lunker Teil Gießparameter optimiert,9,9,9,79,68,26,4,7,4,0,4,0,-1,63,-1,48,-1,33
Formdruckabweichung Lunker vs Sandbindermangel ¦ Form,5,11,11,26,22,17,7,0,7,10,19,15,-1,58,-1,-1,-1,-1
Dichtheitsprüfung Fehler Lunker mbarmin vs max HandlingSchaden Kernreparatur läuft,1,1,1,13,5,4,5,2,2,14,10,14,-1,108,-1,77,32,56
Kokillenriss an Zylinderkopf Charge Normabweichung Gießparameter optimiert,8,8,8,62,52,38,0,5,14,5,14,5,-1,89,-1,66,-1,48
Formdruckabweichung HandlingSchaden vs Lunker Form konform,1,11,11,25,21,16,7,9,5,9,19,18,-1,107,-1,74,-1,53
Röntgenprüfung zeigt Formversatz in Zone Sandausbruch teilkonform,9,11,15,53,45,29,2,4,0,0,16,0,-1,117,-1,60,-1,43
Ausschuss Maßhaltigkeit an Getriebegehäuse Ursache Legierungsabweichung Si Verdacht Sandfeuchteabweichung Wärmenachbehandlung eingeleitet,3,3,17,28,24,-1,5,5,5,5,19,5,-1,90,-1,71,-1,50
Schmelzofen Schmelzofen TempAbweichung °C Verdacht Sandfeuchteabweichung Gießparameter optimiert,6,6,6,46,-1,-1,4,2,4,14,4,14,-1,77,-1,45,-1,32
Kernbruch Ursache HandlingSchaden,3,3,3,92,78,57,9,4,2,4,17,4,43,28,30,23,24,11
Röntgenprüfung zeigt Kaltlauf in Zone HandlingSchaden,1,10,15,35,25,19,7,7,5,7,19,19,-1,14,-1,12,-1,5
Sandfeuchte Kaltlauf außerhalb Toleranz Gießparameter optimiert,9,9,0,0,0,-1,4,7,4,7,4,7,16,61,-1,46,-1,31
Oberflächenrauheit HandlingSchaden außerhalb Spezifikation Verdacht Legierungsdrift,1,14,14,1,2,1,7,5,5,5,19,15,-1,112,-1,82,-1,60
Spektralanalyse zeigt TiMangel Charge Wärmenachbehandlung eingeleitet,1,12,12,37,33,22,5,0,10,6,10,6,51,80,34,54,28,39
Qualitätsabweichung HandlingSchaden Lunker Porosität,7,7,7,54,46,31,7,9,7,9,19,9,48,55,32,36,-1,24
Härteprüfung Sandausbruch Kernschale Verschleiß vs Lunker Normabweichung,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Ausschuss Maßhaltigkeit an Getriebegehäuse Ursache Gießtemp zu niedrig °C °C Prüfbericht,6,6,6,50,42,-1,9,1,12,13,12,17,27,9,20,9,17,-1
Qualitätsabweichung Kernschale Verschleiß Sandbindermangel Raueit Ra Chargenanalyse C Si Nacharbeit gemäß,4,4,4,73,63,47,6,5,6,2,15,2,1,47,1,32,1,22
Legierungsabweichung Mg Sandausbruch vs Soll Sandausbruch Normabweichung Schleifnacharbeit notwendig,5,13,13,68,57,37,8,9,8,9,8,18,6,122,6,87,5,62
Legierungsabweichung Ti Sandausbruch vs Soll Sandbindermangel Verdacht Formüberhitzung Schleifnacharbeit notwendig,5,13,13,68,57,37,8,9,8,9,8,18,6,122,6,87,5,62
Bearbeitungsfehler Kernschale Verschleiß Sandbindermangel Teil,5,5,16,90,72,51,7,5,7,5,7,15,-1,115,-1,76,-1,55
Bearbeitungsfehler Kernschale Verschleiß Sandbindermangel Teil,5,5,16,90,72,51,7,5,7,5,7,15,-1,115,-1,76,-1,55
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Kaltlauf Wärmenachbehandlung eingeleitet,1,1,1,8,5,4,5,6,5,1,19,16,-1,65,-1,-1,-1,-1
Lunker an Radträger Charge Nacharbeit gemäß,8,8,8,63,53,40,0,6,11,6,11,16,34,93,25,69,19,51
Kernbruch Ursache Sandbindermangel,3,3,3,86,74,53,9,3,9,11,9,11,14,3,11,4,9,1
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Kaltlauf Chargenanalyse C Si,4,4,4,73,63,47,6,4,6,0,15,0,1,-1,1,-1,1,-1
Legierungsabweichung Mg Lunker vs Soll HandlingSchaden konform Schleifnacharbeit notwendig,4,13,13,69,58,37,3,9,13,9,13,18,3,121,3,86,-1,62
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Sandbindermangel,5,5,5,31,28,7,7,1,7,13,17,13,-1,88,-1,64,-1,46
Kokillenriss an Radträger Charge Verdacht Formüberhitzung Schleifnacharbeit notwendig,8,8,8,63,53,40,0,6,11,6,11,16,-1,94,-1,69,-1,51
Röntgenprüfung zeigt Sandausbruch in Zone Sandausbruch,5,5,5,7,6,5,9,7,9,7,17,7,-1,49,-1,40,-1,28
Härteprüfung Sandausbruch HandlingSchaden vs Kernschale Verschleiß Gießparameter optimiert,9,9,9,80,69,26,9,7,9,0,9,0,14,64,11,49,9,34
Röntgenprüfung zeigt Lunker in Zone Sandbindermangel,1,11,1,23,19,14,5,5,2,2,2,18,60,27,39,22,31,16
Bearbeitungsfehler Kaltlauf Kaltlauf Teil konform Nacharbeit gemäß,1,1,16,-1,-1,-1,5,9,10,9,10,9,51,59,34,25,28,17
Härteprüfung Sandausbruch Lunker vs Sandbindermangel,2,2,2,4,4,3,1,0,1,10,1,10,0,124,0,89,0,38
Kernbruch Ursache HandlingSchaden,3,3,3,92,78,57,9,4,2,4,17,4,43,28,30,23,24,11
Legierungsabweichung Mg HandlingSchaden vs Soll Sandbindermangel Schleifnacharbeit notwendig,4,13,13,69,58,37,3,9,13,9,13,18,3,121,3,86,-1,62
Qualitätsabweichung Kernschale Verschleiß HandlingSchaden ¦ Raueit Ra ¦ Chargenanalyse Mg Ti Schleifnacharbeit notwendig,4,4,4,58,50,35,6,1,6,1,6,1,2,98,2,50,2,36
Härteprüfung Kaltlauf Sandbindermangel vs Sandbindermangel Verdacht Sandfeuchteabweichung Nacharbeit gemäß,2,2,2,4,4,3,1,0,1,10,1,10,0,70,0,53,0,37
Härteprüfung Lunker Kernschale Verschleiß vs Sandausbruch Chargenanalyse Mg Ti Schleifnacharbeit notwendig,4,4,4,58,50,35,6,1,6,1,6,1,2,72,2,56,2,35
Legierungsabweichung Si Sandausbruch vs Soll Sandbindermangel Kernreparatur läuft,5,13,13,68,57,37,8,9,8,9,8,18,6,122,6,87,5,62
Oberflächenrauheit Kaltlauf außerhalb Spezifikation Kernreparatur läuft,1,10,10,18,14,10,2,3,0,3,18,3,55,12,37,10,27,4
Formversatz an Getriebegehäuse Charge Prüfbericht,8,8,8,67,56,39,0,6,14,6,14,16,25,83,18,63,15,45
Qualitätsabweichung Sandausbruch Sandbindermangel Raueit Ra Prüfbericht,5,5,5,45,39,25,9,4,9,0,17,0,-1,85,-1,67,-1,44
Sandfeuchte Lunker außerhalb Toleranz Normabweichung,0,0,0,27,23,18,2,9,0,9,0,9,54,35,36,28,27,19
Formdruckabweichung Kaltlauf vs Kernschale Verschleiß Form,1,11,11,-1,-1,-1,5,5,10,13,5,13,-1,-1,-1,-1,-1,49
Ausschuss Funktionstest an Getriebegehäuse Ursache Lunker Nacharbeit gemäß,3,3,17,89,77,56,2,4,2,4,18,4,-1,24,-1,18,32,10
Röntgenprüfung zeigt Kokillenriss in Zone Sandausbruch nicht konform,8,13,15,51,43,30,5,7,10,7,10,19,53,18,35,12,29,5
Sandfeuchte Kaltlauf außerhalb Toleranz,0,0,0,16,12,-1,2,2,0,14,18,14,55,36,37,31,27,18
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max HandlingSchaden,1,1,1,12,5,4,5,0,10,10,10,10,51,82,34,62,28,40
Maßabweichung Lunker Lunkermm vs Kaltlauf±HandlingSchadenmm Prüfbericht Wärmenachbehandlung eingeleitet,2,2,2,4,4,3,1,0,1,10,1,10,0,-1,0,-1,0,-1
Bearbeitungsfehler Kaltlauf Kernschale Verschleiß Teil Verdacht Legierungsdrift,2,2,2,4,4,3,1,0,1,10,1,10,0,41,0,33,0,23
Qualitätsabweichung Sandbindermangel Kaltlauf Porosität Chargenanalyse C Si,4,4,4,73,63,47,6,5,6,2,15,2,1,47,1,32,1,22
