text,kmeans_10_direct,kmeans_15_direct,kmeans_20_direct,hdbscan_10_direct,hdbscan_15_direct,hdbscan_20_direct,kmeans_10_pca,kmeans_10_umap,kmeans_15_pca,kmeans_15_umap,kmeans_20_pca,kmeans_20_umap,hdbscan_10_pca,hdbscan_10_umap,hdbscan_15_pca,hdbscan_15_umap,hdbscan_20_pca,hdbscan_20_umap
Sandfeuchte Sandbindermangel außerhalb Toleranz,7,11,11,15,11,11,7,8,7,11,7,11,12,3,7,3,2,4
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Kernschale Verschleiß,1,13,13,3,1,1,9,3,9,3,9,3,1,2,1,2,1,2
Oberflächenrauheit Kaltlauf außerhalb Spezifikation Prüfbericht,7,7,7,14,10,10,8,6,8,6,8,6,-1,9,-1,10,2,8
Röntgenprüfung zeigt Formversatz in Zone Lunker,4,4,4,4,3,3,2,9,2,10,5,10,13,5,8,5,2,5
Ausschuss Maßhaltigkeit an Getriebegehäuse Ursache Legierungsabweichung Si Prüfbericht Kernreparatur läuft,2,10,10,-1,-1,-1,8,4,13,4,13,4,5,7,2,9,3,3
Legierungsabweichung Si Lunker vs Soll Lunker,6,6,19,9,6,6,4,5,9,14,9,14,1,16,1,13,1,11
Schmelzofen Holding Furnace TempAbweichung °C Kernreparatur läuft,5,5,5,1,2,2,5,2,8,2,8,2,10,1,5,1,2,1
Qualitätsabweichung Kaltlauf Sandbindermangel Raueit Ra Normabweichung,0,2,2,8,-1,-1,7,7,7,7,7,7,12,17,7,14,2,12
Härteprüfung HandlingSchaden Lunker vs HandlingSchaden teilkonform Nacharbeit gemäß,8,14,14,-1,-1,-1,0,5,10,8,10,8,1,19,1,16,1,14
Härteprüfung Kaltlauf HandlingSchaden vs Sandbindermangel teilkonform Wärmenachbehandlung eingeleitet,8,14,8,7,-1,-1,9,5,12,5,12,5,1,22,1,17,1,15
Schmelzofen Holding Furnace TempAbweichung °C,5,5,5,1,2,2,5,2,5,2,15,2,9,1,5,1,2,1
Kernbruch Ursache Sandbindermangel Verdacht Sandfeuchteabweichung Kernreparatur läuft,2,2,17,-1,-1,-1,3,4,3,4,3,16,4,7,2,9,3,3
Bearbeitungsfehler HandlingSchaden Kaltlauf Teil Chargenanalyse C Si Wärmenachbehandlung eingeleitet,3,1,3,-1,-1,-1,2,7,2,13,5,13,-1,21,-1,11,2,9
Spektralanalyse zeigt CuMangel Charge Normabweichung Nacharbeit gemäß,9,9,9,-1,-1,-1,2,9,5,9,5,17,13,12,8,6,2,6
Bearbeitungsfehler Sandausbruch Sandausbruch Teil Gießparameter optimiert,7,8,18,-1,-1,-1,1,7,7,13,7,13,-1,21,-1,11,-1,9
Formdruckabweichung HandlingSchaden vs Lunker Form nicht konform Schleifnacharbeit notwendig,0,0,16,5,4,4,0,0,10,0,10,0,1,11,1,12,1,10
Röntgenprüfung zeigt Kaltlauf in Zone HandlingSchaden Verdacht Formüberhitzung,4,4,4,-1,-1,-1,5,9,11,10,11,10,14,5,9,5,2,5
Maßabweichung Lunker Lunkermm vs Sandbindermangel±Sandausbruchmm Chargenanalyse Mg Ti Nacharbeit gemäß,8,12,12,-1,-1,-1,4,5,4,5,9,5,1,23,1,17,1,15
Kernbruch Ursache Sandbindermangel Verdacht Sandfeuchteabweichung,2,2,17,-1,-1,-1,3,4,3,4,3,16,4,7,2,9,3,3
Schmelzofen Holding Furnace TempAbweichung °C Normabweichung Wärmenachbehandlung eingeleitet,5,5,5,1,2,2,5,2,5,2,15,2,-1,1,-1,1,2,1
Qualitätsabweichung Lunker Sandausbruch Raueit Ra Chargenanalyse Mg Ti Gießparameter optimiert,3,3,2,-1,-1,-1,2,7,2,7,17,7,-1,-1,-1,-1,2,-1
Röntgenprüfung zeigt Formversatz in Zone HandlingSchaden Normabweichung Gießparameter optimiert,4,4,4,4,3,3,2,9,2,10,17,10,13,5,8,5,2,5
Röntgenprüfung zeigt Gasporosität in Zone Kaltlauf,4,4,4,4,3,3,2,9,2,10,5,10,13,5,8,5,2,5
Ausschuss Materialfehler an Radträger Ursache Lunker,2,10,10,-1,-1,-1,8,4,13,4,13,4,5,7,2,9,3,3
Härteprüfung Sandausbruch HandlingSchaden vs Kaltlauf Normabweichung,8,14,14,-1,-1,-1,0,8,10,8,16,8,1,19,1,16,1,14
Oberflächenrauheit Kaltlauf außerhalb Spezifikation,7,7,7,14,10,10,8,6,8,6,8,6,8,9,4,10,2,8
Formdruckabweichung Sandbindermangel vs Lunker ¦ Form,0,0,16,5,4,4,9,0,0,0,0,0,1,11,1,12,1,10
Spektralanalyse zeigt TiMangel Charge,9,9,9,12,8,8,6,9,6,9,6,17,0,13,0,6,0,6
Schmelzofen Holding Furnace TempAbweichung °C Verdacht Legierungsdrift,5,5,5,-1,-1,-1,8,2,8,2,8,2,14,1,9,1,2,1
Schmelzofen Schmelzofen TempAbweichung °C,5,5,5,1,2,2,5,2,5,12,15,12,7,0,-1,0,2,0
Legierungsabweichung Cu Sandausbruch vs Soll Kaltlauf Verdacht Formüberhitzung,6,6,6,-1,-1,-1,0,5,10,14,10,14,1,16,1,13,1,11
Maßabweichung Kernschale Verschleiß Kernschale Verschleißmm vs Kaltlauf±HandlingSchadenmm,8,12,12,10,7,7,0,5,0,5,16,15,1,24,1,17,1,15
Härteprüfung Kernschale Verschleiß HandlingSchaden vs Kaltlauf Wärmenachbehandlung eingeleitet,8,14,8,7,-1,-1,0,5,12,5,10,5,1,22,1,17,1,15
Formdruckabweichung Kernschale Verschleiß vs Sandausbruch Form,0,0,16,5,4,4,0,0,10,0,16,0,-1,11,-1,12,-1,10
Härteprüfung Lunker Kernschale Verschleiß vs Kaltlauf,8,14,14,6,5,5,0,8,10,8,16,8,1,19,1,16,1,14
Oberflächenrauheit Sandausbruch außerhalb Spezifikation Chargenanalyse C Si,3,1,7,-1,-1,-1,5,7,5,13,15,13,7,20,-1,11,2,9
Maßabweichung Kaltlauf Sandbindermangelmm vs Sandausbruch±HandlingSchadenmm Chargenanalyse C Si,3,1,1,10,7,7,4,5,4,5,9,5,1,-1,1,-1,1,-1
Maßabweichung Lunker Kernschale Verschleißmm vs Sandausbruch±Kernschale Verschleißmm,8,12,12,10,7,7,0,5,0,5,16,15,-1,24,-1,17,-1,15
Formdruckabweichung HandlingSchaden vs Kaltlauf Form teilkonform,0,0,16,5,4,4,0,0,0,0,0,0,1,11,1,12,1,10
Formdruckabweichung Sandbindermangel vs HandlingSchaden Form Verdacht Legierungsdrift,0,0,6,-1,-1,-1,0,0,10,0,10,0,1,11,1,12,1,10
Röntgenprüfung zeigt Kaltlauf in Zone Lunker Wärmenachbehandlung eingeleitet,4,4,4,4,3,3,2,9,2,10,2,10,-1,5,-1,5,2,5
Bearbeitungsfehler Kernschale Verschleiß Sandbindermangel Teil Chargenanalyse Mg Ti,3,3,18,-1,-1,-1,1,7,11,13,17,13,-1,21,-1,11,-1,9
Spektralanalyse zeigt CuMangel Charge nicht konform,9,9,9,12,8,8,2,9,2,9,2,17,11,12,6,6,2,6
Spektralanalyse zeigt SiMangel Charge Schleifnacharbeit notwendig,9,9,9,-1,-1,-1,2,9,2,9,2,17,11,13,6,6,2,6
Bearbeitungsfehler Sandbindermangel Kernschale Verschleiß ¦ Teil ¦ Prüfbericht Gießparameter optimiert,7,8,18,-1,-1,-1,1,7,7,13,7,13,-1,21,-1,11,2,9
Schmelzofen Schmelzofen TempAbweichung °C Verdacht Sandfeuchteabweichung,5,5,5,1,2,2,5,2,5,12,15,12,-1,0,5,0,2,0
Spektralanalyse zeigt MgMangel Charge Verdacht Legierungsdrift Wärmenachbehandlung eingeleitet,9,9,3,12,8,8,2,9,2,9,2,9,11,10,6,6,2,6
Kernbruch Ursache Kernschale Verschleiß,2,2,17,11,9,9,3,4,3,4,3,16,3,4,3,4,4,3
Maßabweichung Lunker Sandausbruchmm vs Kaltlauf±Kernschale Verschleißmm Nacharbeit gemäß,8,12,12,10,7,7,0,5,10,5,16,5,1,23,1,17,1,15
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max HandlingSchaden Wärmenachbehandlung eingeleitet,1,13,13,3,1,1,4,3,4,3,4,3,-1,2,-1,2,-1,2
Qualitätsabweichung Lunker Sandbindermangel Raueit Ra Kernreparatur läuft,0,2,2,8,-1,-1,7,7,7,7,7,7,12,17,7,14,2,12
Qualitätsabweichung Lunker Kernschale Verschleiß Raueit Ra teilkonform,0,2,2,-1,-1,-1,7,7,7,7,7,7,12,17,7,14,2,12
Maßabweichung Sandbindermangel Sandausbruchmm vs Kernschale Verschleiß±Sandausbruchmm teilkonform Gießparameter optimiert,8,12,12,-1,-1,-1,9,5,9,5,12,15,1,-1,1,17,1,15
Oberflächenrauheit HandlingSchaden außerhalb Spezifikation Schleifnacharbeit notwendig,7,7,7,-1,-1,-1,8,6,8,6,8,6,14,9,9,10,2,8
Härteprüfung Sandausbruch Kernschale Verschleiß vs Kaltlauf,8,14,14,6,5,5,0,8,10,8,16,8,-1,19,-1,16,-1,14
Qualitätsabweichung HandlingSchaden Kaltlauf Porosität Prüfbericht Nacharbeit gemäß,0,14,0,-1,-1,-1,1,7,7,7,1,7,12,18,7,15,2,13
Kokillenriss an Zylinderkopf Charge Schleifnacharbeit notwendig,4,4,15,-1,-1,-1,1,1,11,1,11,19,14,8,9,7,2,7
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max Sandausbruch,1,13,13,3,1,1,9,3,9,3,9,3,1,2,1,2,1,2
Ausschuss Oberflächenfehler an Zylinderkopf Ursache Gießtemp zu niedrig °C °C teilkonform,2,10,10,-1,-1,-1,8,4,14,4,14,4,-1,7,-1,9,-1,3
Ausschuss Oberflächenfehler an Getriebegehäuse Ursache Gießtemp zu niedrig °C °C Prüfbericht Gießparameter optimiert,2,10,10,-1,-1,-1,8,4,14,4,14,4,-1,7,-1,9,-1,3
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Sandausbruch,1,13,13,3,1,1,4,3,9,3,9,3,1,2,1,2,1,2
Maßabweichung Kernschale Verschleiß Lunkermm vs Sandausbruch±Sandbindermangelmm,8,12,12,10,7,7,0,5,0,5,18,15,-1,24,-1,17,-1,15
Oberflächenrauheit Lunker außerhalb Spezifikation Chargenanalyse Mg Ti,3,3,7,-1,-1,-1,2,7,2,13,2,13,-1,20,-1,11,2,9
Schmelzofen Holding Furnace TempAbweichung °C,5,5,5,1,2,2,5,2,5,2,15,2,9,1,5,1,2,1
Bearbeitungsfehler Kaltlauf Lunker Teil,7,8,18,2,1,1,7,7,7,13,7,13,12,21,7,11,2,9
Röntgenprüfung zeigt Kokillenriss in Zone HandlingSchaden Gießparameter optimiert,4,4,4,4,3,3,2,9,2,10,2,10,-1,5,-1,5,-1,5
Kernbruch Ursache Kernschale Verschleiß Verdacht Formüberhitzung,2,2,17,-1,-1,-1,3,4,3,4,3,16,2,7,3,9,4,3
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Sandbindermangel Wärmenachbehandlung eingeleitet,1,13,13,3,1,1,4,3,4,3,4,3,1,2,1,2,1,2
Härteprüfung Sandausbruch Kernschale Verschleiß vs Sandausbruch Gießparameter optimiert,8,14,14,-1,-1,-1,0,8,10,8,10,8,1,19,1,16,1,14
Röntgenprüfung zeigt Formversatz in Zone Kernschale Verschleiß Nacharbeit gemäß,4,4,4,4,3,3,5,9,11,10,11,10,14,5,9,5,2,5
Formdruckabweichung Kernschale Verschleiß vs HandlingSchaden Form Gießparameter optimiert,0,0,16,-1,-1,-1,0,0,10,0,0,0,1,11,1,12,1,10
Ausschuss Funktionstest an Radträger Ursache HandlingSchaden Schleifnacharbeit notwendig,2,10,10,-1,-1,-1,3,4,13,4,13,4,6,7,2,9,3,3
Bearbeitungsfehler Kernschale Verschleiß Lunker Teil nicht konform Gießparameter optimiert,7,8,18,-1,-1,-1,7,7,7,13,7,13,-1,21,-1,11,2,9
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Kaltlauf Verdacht Sandfeuchteabweichung,1,13,13,3,1,1,9,3,9,3,12,3,1,2,1,2,1,2
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Lunker Verdacht Legierungsdrift,1,13,13,-1,-1,-1,9,3,9,3,12,3,1,2,1,2,1,2
Sandfeuchte HandlingSchaden außerhalb Toleranz Chargenanalyse C Si Nacharbeit gemäß,3,1,1,-1,-1,-1,1,8,11,11,11,11,14,3,9,3,2,4
Gasporosität an Radträger Charge Verdacht Sandfeuchteabweichung,2,2,15,-1,-1,-1,5,1,8,1,8,1,14,15,9,7,2,7
Formdruckabweichung Sandausbruch vs Lunker Form,0,0,16,5,4,4,0,0,0,0,0,0,1,11,1,12,1,10
Qualitätsabweichung Kaltlauf Sandbindermangel Porosität,0,14,0,-1,-1,-1,1,7,7,7,7,7,-1,18,-1,15,2,13
Ausschuss Materialfehler an Getriebegehäuse Ursache HandlingSchaden,2,10,10,-1,-1,-1,3,4,13,4,13,4,4,7,2,9,3,3
Härteprüfung Sandbindermangel Lunker vs Lunker ¦ Chargenanalyse Mg Ti,8,14,14,-1,-1,-1,4,8,4,8,9,8,1,19,1,16,1,14
Röntgenprüfung zeigt Kaltlauf in Zone Sandausbruch Nacharbeit gemäß,4,4,4,4,3,3,5,9,11,10,11,10,14,5,9,5,2,5
Kokillenriss an Getriebegehäuse Charge Wärmenachbehandlung eingeleitet,2,2,8,-1,-1,-1,5,1,11,1,11,1,14,15,9,7,2,7
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Kaltlauf Chargenanalyse C Si,1,13,13,3,1,1,4,3,4,3,4,3,-1,2,-1,2,-1,2
Oberflächenrauheit Kernschale Verschleiß außerhalb Spezifikation,7,7,7,14,10,10,8,6,8,6,8,6,-1,9,2,10,3,8
Kernbruch Ursache Sandbindermangel,2,2,17,11,9,9,3,4,3,4,3,18,-1,7,-1,9,-1,3
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Lunker Verdacht Sandfeuchteabweichung,1,13,13,3,1,1,4,3,9,3,9,3,1,2,1,2,1,2
Kokillenriss an Radträger Charge Normabweichung Schleifnacharbeit notwendig,2,2,15,-1,-1,-1,1,1,8,1,11,19,14,15,9,7,2,7
Oberflächenrauheit Kaltlauf außerhalb Spezifikation ¦ Chargenanalyse Mg Ti Wärmenachbehandlung eingeleitet,3,3,3,-1,-1,-1,2,7,2,13,5,13,13,20,8,11,2,9
Kokillenriss an Zylinderkopf ¦ Charge ¦ Prüfbericht,4,4,15,-1,-1,-1,5,1,11,1,11,19,14,8,9,7,2,7
Formdruckabweichung Sandbindermangel vs Lunker Form,0,0,16,5,4,4,9,0,0,0,18,0,1,11,1,12,1,10
Legierungsabweichung Si Kernschale Verschleiß vs Soll Sandausbruch,6,6,19,9,6,6,0,5,0,14,0,14,1,16,1,13,1,11
Röntgenprüfung zeigt Kokillenriss in Zone Sandbindermangel Normabweichung Wärmenachbehandlung eingeleitet,4,4,4,-1,-1,-1,2,9,2,10,2,10,-1,5,-1,5,2,5
Formdruckabweichung Kaltlauf vs HandlingSchaden Form Normabweichung Schleifnacharbeit notwendig,0,0,16,5,4,4,0,0,10,0,10,0,1,11,1,12,1,10
Maßabweichung Kaltlauf HandlingSchadenmm vs Kaltlauf±Sandbindermangelmm Chargenanalyse C Si Gießparameter optimiert,3,1,1,10,7,7,4,5,4,5,4,5,1,-1,1,-1,1,-1
Formdruckabweichung Sandausbruch vs Sandausbruch Form,0,0,16,5,4,4,0,0,10,0,10,0,1,11,1,12,1,10
Maßabweichung Sandausbruch Sandausbruchmm vs Kaltlauf±Kernschale Verschleißmm Verdacht Legierungsdrift,6,12,6,-1,-1,-1,0,5,10,5,16,5,1,23,1,17,1,15
Qualitätsabweichung Kaltlauf Kernschale Verschleiß Raueit Ra Nacharbeit gemäß,0,2,2,-1,-1,-1,7,7,1,7,19,7,-1,17,-1,14,-1,12
Kernbruch Ursache Sandbindermangel konform Gießparameter optimiert,2,2,17,-1,-1,-1,7,4,1,4,19,18,-1,-1,-1,-1,2,3
Kernbruch Ursache HandlingSchaden,2,10,17,13,8,8,3,4,3,4,3,18,2,6,3,8,4,3
Röntgenprüfung zeigt Kokillenriss in Zone Kernschale Verschleiß Nacharbeit gemäß,4,4,4,-1,-1,-1,5,9,11,10,11,10,14,5,9,5,2,5
Maßabweichung Sandbindermangel Kernschale Verschleißmm vs Kaltlauf±Kaltlaufmm Chargenanalyse C Si,3,1,1,10,7,7,4,5,9,5,9,5,1,-1,1,-1,1,-1
Maßabweichung Sandausbruch HandlingSchadenmm vs Kaltlauf±Sandbindermangelmm Chargenanalyse C Si Schleifnacharbeit notwendig,3,1,1,10,7,7,4,5,9,5,12,5,1,-1,1,-1,1,-1
Kokillenriss an Getriebegehäuse Charge,2,2,15,-1,-1,-1,1,1,11,1,1,1,12,15,7,7,2,7
Bearbeitungsfehler Kernschale Verschleiß Kernschale Verschleiß Teil Nacharbeit gemäß,7,8,18,-1,-1,-1,7,7,1,13,19,13,-1,-1,-1,11,2,9
Schmelzofen Schmelzofen TempAbweichung °C nicht konform,5,5,5,1,2,2,5,2,5,12,15,12,14,0,9,0,2,0
Oberflächenrauheit Kaltlauf außerhalb Spezifikation Normabweichung,7,7,7,14,10,10,8,6,8,6,8,6,-1,9,-1,10,2,8
Ausschuss Maßhaltigkeit an Zylinderkopf Ursache Gießtemp zu niedrig °C °C Chargenanalyse Mg Ti Kernreparatur läuft,3,3,10,-1,-1,-1,5,4,5,4,15,4,-1,7,-1,9,-1,3
Dichtheitsprüfung Fehler Sandbindermangel mbarmin vs max Kernschale Verschleiß Chargenanalyse C Si,1,13,13,3,1,1,4,3,4,3,4,3,-1,2,-1,2,-1,2
Röntgenprüfung zeigt Sandausbruch in Zone HandlingSchaden Wärmenachbehandlung eingeleitet,4,4,4,4,3,3,2,9,5,10,5,10,13,5,8,5,2,5
Qualitätsabweichung Sandbindermangel Sandausbruch Porosität Kernreparatur läuft,0,14,0,-1,-1,-1,7,7,1,7,19,7,12,18,7,15,2,13
Sandfeuchte Kaltlauf außerhalb Toleranz Chargenanalyse C Si,3,1,1,-1,-1,-1,1,8,11,11,11,11,-1,3,-1,3,2,4
Röntgenprüfung zeigt Gasporosität in Zone Kaltlauf,4,4,4,4,3,3,2,9,2,10,5,10,13,5,8,5,2,5
Kokillenriss an Zylinderkopf Charge Normabweichung Gießparameter optimiert,4,4,15,-1,-1,-1,2,1,2,1,17,19,13,8,8,7,2,7
Formdruckabweichung Sandbindermangel vs Kernschale Verschleiß Form,0,0,16,5,4,4,0,0,10,0,16,0,1,11,1,12,1,10
Spektralanalyse zeigt TiMangel Charge,9,9,9,12,8,8,6,9,6,9,6,17,0,13,0,6,0,6
Maßabweichung Sandbindermangel Sandbindermangelmm vs Kernschale Verschleiß±HandlingSchadenmm,8,12,12,10,7,7,9,5,0,5,18,15,1,24,1,17,1,15
Oberflächenrauheit Sandausbruch außerhalb Spezifikation Wärmenachbehandlung eingeleitet,7,7,7,-1,-1,-1,8,6,8,6,8,6,10,9,5,10,2,8
Röntgenprüfung zeigt Sandausbruch in Zone Kaltlauf Chargenanalyse Mg Ti,4,3,4,-1,-1,-1,6,9,2,10,2,10,11,5,6,5,2,5
Kokillenriss an Radträger Charge,2,2,15,0,0,0,1,1,11,1,11,1,14,15,9,7,2,7
Ausschuss Maßhaltigkeit an Zylinderkopf Ursache Gießtemp zu niedrig °C °C Chargenanalyse C Si,3,10,10,-1,-1,-1,5,4,5,4,15,4,-1,7,-1,9,-1,3
Röntgenprüfung zeigt Formversatz in Zone Kaltlauf Chargenanalyse Mg Ti,4,4,4,-1,-1,-1,6,9,2,10,2,10,11,5,6,5,2,5
Bearbeitungsfehler Kernschale Verschleiß Lunker Teil Prüfbericht Schleifnacharbeit notwendig,7,8,18,-1,-1,-1,1,7,7,13,1,13,12,21,7,11,2,9
Bearbeitungsfehler Lunker Sandausbruch Teil Wärmenachbehandlung eingeleitet,7,8,8,7,-1,-1,1,7,11,13,11,13,14,21,9,11,2,9
Kernbruch Ursache HandlingSchaden teilkonform,2,10,17,13,8,8,3,4,3,4,3,18,4,6,2,8,3,3
Spektralanalyse zeigt MgMangel Charge Prüfbericht Kernreparatur läuft,9,9,9,-1,-1,-1,6,9,2,9,2,17,11,13,6,6,2,6
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Sandausbruch Kernreparatur läuft,1,13,13,3,1,1,9,3,9,3,12,3,1,2,1,2,1,2
Qualitätsabweichung Sandausbruch Sandbindermangel Porosität,0,14,0,-1,-1,-1,7,7,7,7,7,7,12,18,7,15,2,13
Sandfeuchte Kaltlauf außerhalb Toleranz Wärmenachbehandlung eingeleitet,7,11,11,-1,-1,-1,1,8,8,11,1,11,12,3,7,3,2,4
Kernbruch Ursache Sandbindermangel Prüfbericht,2,10,17,11,9,9,3,4,13,4,13,18,6,7,2,9,3,3
Spektralanalyse zeigt CuMangel Charge Kernreparatur läuft,9,9,9,12,8,8,2,9,2,9,2,17,11,13,6,6,2,6
Spektralanalyse zeigt SiMangel ¦ Charge Gießparameter optimiert,9,9,9,-1,-1,-1,6,9,6,9,6,17,0,13,0,6,0,6
Kernbruch Ursache Kernschale Verschleiß,2,2,17,11,9,9,3,4,3,4,3,16,3,4,3,4,4,3
Ausschuss Maßhaltigkeit an Getriebegehäuse Ursache Sandfeuchte zu hoch ≥ teilkonform,2,10,10,-1,-1,-1,8,4,13,4,13,4,5,7,2,9,3,3
Maßabweichung Sandbindermangel Sandbindermangelmm vs Kernschale Verschleiß±Kaltlaufmm,8,12,12,10,7,7,9,5,0,5,18,15,1,24,1,17,1,15
Qualitätsabweichung Kernschale Verschleiß HandlingSchaden Raueit Ra Wärmenachbehandlung eingeleitet,0,2,2,-1,-1,-1,1,7,1,7,1,7,12,17,7,14,2,12
Gasporosität an Radträger Charge Prüfbericht,4,2,15,-1,-1,-1,5,1,5,1,15,1,9,15,5,7,2,7
