text,kmeans_3_direct,kmeans_5_direct,kmeans_7_direct,hdbscan_10_direct,hdbscan_15_direct,hdbscan_20_direct,kmeans_3_pca,kmeans_3_umap,kmeans_5_pca,kmeans_5_umap,kmeans_7_pca,kmeans_7_umap,hdbscan_10_pca,hdbscan_10_umap,hdbscan_15_pca,hdbscan_15_umap,hdbscan_20_pca,hdbscan_20_umap
Oberflächenrauheit Sandbindermangel außerhalb Spezifikation Normabweichung,0,0,0,52,38,24,0,0,0,1,0,0,36,101,-1,76,-1,53
Maßabweichung Kaltlauf Lunkermm vs Sandausbruch±Lunkermm Gießparameter optimiert,0,4,4,36,21,13,0,1,0,3,0,3,58,39,-1,33,24,19
Formdruckabweichung HandlingSchaden vs Lunker Form,0,3,3,-1,-1,18,0,0,4,1,4,5,47,99,25,72,18,55
Lunker an Radträger Charge nicht konform Nacharbeit gemäß,1,1,1,1,2,2,1,1,1,3,1,3,8,26,3,23,2,21
Bearbeitungsfehler Sandausbruch Sandausbruch Teil Normabweichung,0,0,0,52,38,24,0,0,0,1,0,0,36,100,-1,75,-1,53
Röntgenprüfung zeigt Formversatz in Zone Lunker,2,2,2,-1,-1,-1,2,1,2,3,6,1,37,71,17,56,-1,41
Legierungsabweichung Ti Lunker vs Soll Lunker Normabweichung Gießparameter optimiert,0,4,4,-1,-1,-1,0,1,0,3,0,3,44,38,23,32,16,19
Maßabweichung Sandbindermangel Kernschale Verschleißmm vs Kaltlauf±Sandausbruchmm Verdacht Legierungsdrift,0,3,3,-1,-1,-1,0,0,4,1,4,5,59,-1,34,-1,27,-1
Kaltlauf an Zylinderkopf Charge Normabweichung Kernreparatur läuft,1,1,1,1,2,2,1,1,1,3,1,3,-1,16,-1,14,2,11
Legierungsabweichung Si Kernschale Verschleiß vs Soll Kaltlauf,0,3,3,-1,-1,-1,0,0,4,1,4,5,-1,81,-1,62,-1,35
Bearbeitungsfehler Kaltlauf Sandausbruch Teil,0,0,0,54,40,26,0,0,0,0,2,0,-1,64,-1,36,-1,30
Formdruckabweichung Sandbindermangel vs Lunker ¦ Form,0,3,3,41,30,18,0,0,4,1,4,5,74,93,43,71,28,54
Sandfeuchte Sandbindermangel außerhalb Toleranz Wärmenachbehandlung eingeleitet,2,2,6,34,26,16,2,1,2,1,6,1,-1,7,-1,7,-1,7
Maßabweichung Sandausbruch Lunkermm vs Sandausbruch±Kernschale Verschleißmm,0,3,3,-1,-1,-1,0,0,4,1,4,5,74,111,43,66,28,51
Bearbeitungsfehler Sandbindermangel Lunker Teil Prüfbericht,0,0,0,54,40,26,0,0,0,0,2,0,-1,53,-1,36,-1,30
Schmelzofen Schmelzofen TempAbweichung °C Verdacht Legierungsdrift Nacharbeit gemäß,2,2,6,0,0,0,2,2,3,4,3,4,-1,8,-1,8,-1,8
Qualitätsabweichung Lunker Lunker ¦ Dickenmaß ¦ Normabweichung,0,0,0,-1,-1,-1,0,0,0,0,0,0,39,61,19,50,14,39
Maßabweichung Lunker Sandbindermangelmm vs Sandbindermangel±Kernschale Verschleißmm teilkonform,0,3,3,-1,-1,-1,0,0,4,1,4,5,62,108,35,66,28,51
Spektralanalyse zeigt TiMangel Charge Normabweichung Kernreparatur läuft,0,0,1,5,-1,5,0,1,0,3,2,3,-1,6,-1,-1,-1,4
Maßabweichung HandlingSchaden Lunkermm vs HandlingSchaden±Sandbindermangelmm Normabweichung,0,3,3,-1,-1,-1,0,0,4,1,4,5,70,106,42,79,28,59
Spektralanalyse zeigt TiMangel Charge Normabweichung Wärmenachbehandlung eingeleitet,1,1,1,3,4,3,2,1,3,3,3,3,-1,15,-1,6,-1,6
Sandfeuchte Sandausbruch außerhalb Toleranz Gießparameter optimiert,0,4,4,37,21,13,0,1,0,3,2,3,52,36,29,15,20,12
Bearbeitungsfehler Kaltlauf HandlingSchaden Teil Verdacht Formüberhitzung,0,0,0,26,-1,-1,0,0,0,0,2,0,-1,59,-1,46,20,36
Formdruckabweichung Kaltlauf vs Sandausbruch Form Prüfbericht Schleifnacharbeit notwendig,0,3,3,40,29,18,0,0,4,1,4,5,-1,80,-1,-1,28,-1
Schmelzofen Schmelzofen TempAbweichung °C Verdacht Formüberhitzung,2,2,6,-1,0,0,2,2,3,4,3,4,18,8,6,8,5,8
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max Sandbindermangel Verdacht Legierungsdrift,0,4,4,31,24,15,0,1,4,1,4,1,47,-1,25,28,18,23
Kernbruch Ursache Sandbindermangel,0,0,0,61,44,29,0,2,0,2,0,2,43,1,22,1,15,1
Röntgenprüfung zeigt Kokillenriss in Zone Kaltlauf Prüfbericht Kernreparatur läuft,2,2,2,-1,-1,-1,2,1,2,3,6,1,-1,62,12,51,8,40
Sandfeuchte Sandbindermangel außerhalb Toleranz Prüfbericht Gießparameter optimiert,0,4,4,37,21,13,0,1,0,3,0,3,-1,36,-1,15,-1,12
Schmelzofen Holding Furnace TempAbweichung °C Nacharbeit gemäß,2,2,2,-1,1,1,2,0,3,0,3,6,-1,32,6,26,5,20
Sandfeuchte Kernschale Verschleiß außerhalb Toleranz Nacharbeit gemäß,0,0,0,-1,-1,-1,0,0,0,0,0,0,57,46,33,40,26,29
Formdruckabweichung Lunker vs Sandbindermangel Form Prüfbericht Nacharbeit gemäß,0,3,3,41,30,18,0,0,4,1,4,5,74,93,43,71,28,54
Härteprüfung Sandausbruch Kaltlauf vs Sandausbruch Prüfbericht Wärmenachbehandlung eingeleitet,2,3,6,33,25,-1,2,0,2,1,2,5,38,66,18,53,12,43
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Sandausbruch Gießparameter optimiert,0,4,4,29,22,-1,0,2,0,2,0,2,71,23,37,21,24,16
Oberflächenrauheit Kaltlauf außerhalb Spezifikation Normabweichung,0,0,0,-1,-1,-1,0,0,0,1,2,0,-1,101,-1,76,-1,53
Qualitätsabweichung Sandbindermangel Sandbindermangel Porosität Prüfbericht,0,0,0,-1,-1,-1,0,0,0,0,0,0,68,97,40,73,24,56
Ausschuss Funktionstest an Radträger Ursache Sandfeuchte zu hoch ≥ Chargenanalyse Mg Ti Schleifnacharbeit notwendig,1,1,5,-1,-1,4,1,0,1,0,5,6,2,49,1,43,1,-1
Schmelzofen Schmelzofen TempAbweichung °C Kernreparatur läuft,2,2,6,0,0,0,2,2,3,4,3,4,17,8,6,8,5,8
Schmelzofen Holding Furnace TempAbweichung °C Wärmenachbehandlung eingeleitet,2,2,2,-1,1,1,2,0,3,0,3,6,11,32,2,26,3,20
Spektralanalyse zeigt TiMangel Charge Prüfbericht Schleifnacharbeit notwendig,1,1,1,14,10,5,1,1,1,3,1,3,-1,29,-1,13,2,4
Röntgenprüfung zeigt Kaltlauf in Zone Kaltlauf,2,2,2,25,20,12,2,1,3,3,6,1,23,52,-1,44,-1,33
Bearbeitungsfehler HandlingSchaden Lunker Teil Nacharbeit gemäß,0,0,0,-1,-1,-1,2,0,2,0,2,0,-1,-1,-1,-1,-1,-1
Maßabweichung Sandbindermangel Sandbindermangelmm vs Sandbindermangel±Sandausbruchmm Chargenanalyse Mg Ti,1,1,5,17,13,4,1,0,1,0,5,6,2,83,1,64,1,49
Legierungsabweichung Ti HandlingSchaden vs Soll Kaltlauf Verdacht Formüberhitzung,0,3,3,47,34,20,0,0,4,1,4,5,74,58,43,48,28,35
Ausschuss Materialfehler an Radträger Ursache Legierungsabweichung Si Verdacht Sandfeuchteabweichung,0,0,0,16,12,8,0,0,0,0,0,3,71,17,37,16,24,13
Härteprüfung Sandausbruch HandlingSchaden vs Kaltlauf Verdacht Legierungsdrift,0,3,3,-1,-1,-1,0,0,4,1,4,5,-1,-1,-1,-1,-1,47
Qualitätsabweichung Kaltlauf Sandausbruch Raueit Ra nicht konform,0,0,0,-1,-1,-1,0,0,0,0,0,0,67,103,37,74,24,57
Kokillenriss an Radträger Charge Normabweichung,1,1,1,1,2,2,1,1,1,3,1,3,8,26,3,23,2,21
Formdruckabweichung Kernschale Verschleiß vs Sandbindermangel Form Nacharbeit gemäß,0,3,3,40,29,18,0,0,4,1,4,5,-1,86,-1,65,-1,50
Schmelzofen Holding Furnace TempAbweichung °C,2,2,2,9,1,1,2,2,3,4,3,4,15,3,7,3,6,2
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max Lunker nicht konform Schleifnacharbeit notwendig,0,4,4,31,24,15,0,1,0,1,0,1,53,42,30,29,22,24
Oberflächenrauheit Lunker außerhalb Spezifikation,2,0,6,45,32,19,2,2,2,2,6,5,26,48,12,42,8,31
Spektralanalyse zeigt TiMangel Charge Chargenanalyse C Si Schleifnacharbeit notwendig,1,1,5,-1,-1,4,1,0,1,0,5,6,2,-1,1,35,1,28
Oberflächenrauheit Kaltlauf außerhalb Spezifikation Prüfbericht,2,0,6,44,32,19,2,2,2,2,6,2,-1,5,12,5,8,5
Lunker an Radträger Charge teilkonform,1,1,1,1,2,2,1,1,1,3,1,3,-1,26,-1,23,2,21
Maßabweichung Kernschale Verschleiß Kernschale Verschleißmm vs Kaltlauf±Lunkermm ¦ Prüfbericht Wärmenachbehandlung eingeleitet,0,3,3,-1,-1,-1,0,0,0,1,2,5,-1,66,-1,53,-1,43
Qualitätsabweichung Sandausbruch Sandbindermangel Dickenmaß Nacharbeit gemäß,0,0,0,53,39,25,0,0,0,0,0,0,68,61,40,50,24,39
Härteprüfung HandlingSchaden Lunker vs HandlingSchaden teilkonform Nacharbeit gemäß,0,3,3,-1,-1,-1,0,0,4,1,4,5,66,109,39,81,28,47
Röntgenprüfung zeigt Formversatz in Zone Sandausbruch,2,2,2,35,27,17,2,1,2,3,2,1,38,-1,18,-1,12,-1
Schmelzofen Schmelzofen TempAbweichung °C,2,2,6,6,0,0,2,2,3,4,3,4,19,9,8,9,7,9
Kokillenriss an Radträger Charge,1,1,1,1,2,2,1,1,1,3,1,3,8,26,3,23,2,21
Röntgenprüfung zeigt Lunker in Zone Kernschale Verschleiß Gießparameter optimiert,2,4,2,20,16,9,2,1,2,3,6,1,-1,63,-1,52,-1,42
Härteprüfung Kernschale Verschleiß Kaltlauf vs HandlingSchaden ¦ Prüfbericht,0,3,3,51,37,23,0,0,4,1,4,5,-1,109,-1,81,28,47
Bearbeitungsfehler Lunker Kaltlauf Teil Normabweichung Wärmenachbehandlung eingeleitet,2,2,6,-1,-1,-1,2,1,2,1,6,1,13,7,4,7,4,7
Schmelzofen Schmelzofen TempAbweichung °C ¦ konform Schleifnacharbeit notwendig,2,2,6,-1,0,0,2,2,3,4,3,4,17,8,6,8,5,8
Formversatz an Getriebegehäuse Charge,1,1,1,1,2,2,1,1,1,3,1,3,-1,27,-1,24,2,22
Formdruckabweichung Lunker vs Sandbindermangel Form,0,3,3,41,30,18,0,0,4,1,4,5,76,93,44,71,28,54
Härteprüfung Kaltlauf Sandausbruch vs HandlingSchaden Normabweichung,0,3,3,-1,-1,-1,0,0,4,1,4,5,-1,67,-1,-1,-1,-1
Legierungsabweichung Cu Sandbindermangel vs Soll Sandausbruch Verdacht Formüberhitzung,0,3,3,48,34,20,0,0,4,1,4,5,54,90,31,69,23,35
Röntgenprüfung zeigt Formversatz in Zone Lunker Prüfbericht Schleifnacharbeit notwendig,2,2,2,28,-1,-1,2,1,2,3,6,1,-1,71,-1,56,-1,41
Maßabweichung Kaltlauf Sandausbruchmm vs Lunker±Sandbindermangelmm Normabweichung,0,3,3,51,37,23,0,0,4,1,4,5,45,102,24,77,17,58
Kernbruch Ursache HandlingSchaden Kernreparatur läuft,0,0,0,49,35,21,0,2,4,2,0,2,35,24,-1,22,-1,16
Qualitätsabweichung Sandbindermangel HandlingSchaden Dickenmaß,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,61,-1,50,24,39
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max HandlingSchaden Gießparameter optimiert,0,4,4,-1,-1,-1,0,2,0,2,2,2,39,23,19,21,14,16
Röntgenprüfung zeigt Lunker in Zone Kaltlauf,2,2,2,25,20,12,2,1,3,3,6,1,23,52,-1,44,-1,33
Kernbruch Ursache Sandbindermangel,0,0,0,61,44,29,0,2,0,2,0,2,43,1,22,1,15,1
Ausschuss Funktionstest an Zylinderkopf Ursache Lunker Nacharbeit gemäß,2,0,0,-1,-1,-1,2,0,2,0,6,0,-1,95,-1,49,-1,38
Formdruckabweichung Kernschale Verschleiß vs Sandbindermangel Form Prüfbericht Nacharbeit gemäß,0,3,3,40,29,18,0,0,4,1,4,5,-1,86,-1,65,-1,50
Spektralanalyse zeigt MgMangel ¦ Charge Kernreparatur läuft,1,1,1,12,8,5,1,1,1,3,1,3,-1,30,-1,13,2,4
Röntgenprüfung zeigt Lunker in Zone Kaltlauf Prüfbericht Nacharbeit gemäß,2,2,2,25,20,12,2,1,2,3,6,1,23,52,-1,44,-1,33
Formdruckabweichung Kernschale Verschleiß vs Sandausbruch Form Prüfbericht,0,3,3,40,29,18,0,0,4,1,4,5,59,86,34,65,27,50
Spektralanalyse zeigt SiMangel Charge Prüfbericht Schleifnacharbeit notwendig,1,1,1,15,11,5,1,1,1,3,1,3,-1,30,-1,13,2,4
Schmelzofen Schmelzofen TempAbweichung °C Nacharbeit gemäß,2,2,6,0,0,0,2,2,3,4,3,4,-1,8,-1,8,-1,8
Oberflächenrauheit Kaltlauf außerhalb Spezifikation,2,0,6,44,32,19,2,2,2,2,6,2,25,5,12,5,8,5
Gasporosität an Getriebegehäuse Charge Prüfbericht,1,1,1,2,3,2,1,1,1,3,1,3,-1,10,-1,11,-1,-1
Schmelzofen Schmelzofen TempAbweichung °C,2,2,6,6,0,0,2,2,3,4,3,4,19,9,8,9,7,9
Spektralanalyse zeigt SiMangel Charge Chargenanalyse Mg Ti,1,1,5,17,13,4,1,0,1,0,5,6,2,76,1,-1,1,-1
Qualitätsabweichung Lunker Kernschale Verschleiß Dickenmaß Chargenanalyse Mg Ti Wärmenachbehandlung eingeleitet,1,1,5,17,13,4,1,0,1,0,5,6,-1,49,1,43,1,-1
Bearbeitungsfehler HandlingSchaden Kaltlauf Teil Prüfbericht Wärmenachbehandlung eingeleitet,2,2,6,-1,-1,-1,2,1,3,1,6,1,13,7,4,7,4,7
Härteprüfung HandlingSchaden Kaltlauf vs HandlingSchaden Normabweichung Nacharbeit gemäß,0,3,3,-1,-1,-1,0,0,4,1,4,5,-1,67,-1,-1,28,-1
Bearbeitungsfehler Kernschale Verschleiß Lunker Teil Gießparameter optimiert,0,4,4,-1,21,13,0,1,2,3,2,3,-1,-1,-1,15,-1,12
Formdruckabweichung Lunker vs Sandbindermangel ¦ Form,0,3,3,41,30,18,0,0,4,1,4,5,76,93,44,71,28,54
Dichtheitsprüfung Fehler Lunker mbarmin vs max HandlingSchaden Kernreparatur läuft,0,4,4,30,23,14,0,1,0,1,0,1,67,19,37,19,24,17
Kokillenriss an Zylinderkopf Charge Normabweichung Gießparameter optimiert,1,1,1,4,5,6,1,1,1,3,1,3,-1,0,-1,0,2,0
Formdruckabweichung HandlingSchaden vs Lunker Form konform,0,3,3,-1,-1,18,0,0,4,1,4,5,-1,99,-1,72,-1,55
Röntgenprüfung zeigt Formversatz in Zone Sandausbruch teilkonform,2,2,2,35,27,17,2,1,2,3,2,1,38,-1,18,-1,12,-1
Ausschuss Maßhaltigkeit an Getriebegehäuse Ursache Legierungsabweichung Si Verdacht Sandfeuchteabweichung Wärmenachbehandlung eingeleitet,2,2,6,-1,-1,-1,2,1,2,1,6,1,-1,7,-1,7,-1,7
Schmelzofen Schmelzofen TempAbweichung °C Verdacht Sandfeuchteabweichung Gießparameter optimiert,2,2,6,-1,0,0,2,2,3,4,6,4,-1,8,-1,8,-1,8
Kernbruch Ursache HandlingSchaden,0,0,0,50,36,22,0,2,4,2,0,2,27,21,13,18,9,15
Röntgenprüfung zeigt Kaltlauf in Zone HandlingSchaden,2,2,2,20,16,9,2,1,2,3,6,1,24,70,12,55,8,41
Sandfeuchte Kaltlauf außerhalb Toleranz Gießparameter optimiert,0,4,4,37,21,13,0,1,0,3,2,3,33,36,-1,15,-1,12
Oberflächenrauheit HandlingSchaden außerhalb Spezifikation Verdacht Legierungsdrift,0,0,0,-1,-1,-1,0,0,0,1,2,0,-1,91,-1,70,-1,52
Spektralanalyse zeigt TiMangel Charge Wärmenachbehandlung eingeleitet,1,1,1,3,4,3,1,1,1,3,1,3,0,15,0,6,0,6
Qualitätsabweichung HandlingSchaden Lunker Porosität,0,0,0,-1,-1,-1,0,0,0,0,2,0,39,97,19,73,14,56
Härteprüfung Sandausbruch Kernschale Verschleiß vs Lunker Normabweichung,0,3,3,-1,-1,-1,0,0,4,1,4,5,62,67,35,-1,28,-1
Ausschuss Maßhaltigkeit an Getriebegehäuse Ursache Gießtemp zu niedrig °C °C Prüfbericht,2,2,6,11,7,7,2,0,3,0,3,3,-1,18,-1,17,-1,14
Qualitätsabweichung Kernschale Verschleiß Sandbindermangel Raueit Ra Chargenanalyse C Si Nacharbeit gemäß,1,1,5,18,14,4,1,0,1,0,5,6,2,79,1,35,1,28
Legierungsabweichung Mg Sandausbruch vs Soll Sandausbruch Normabweichung Schleifnacharbeit notwendig,0,3,3,-1,-1,-1,0,0,4,1,4,5,-1,90,-1,69,28,35
Legierungsabweichung Ti Sandausbruch vs Soll Sandbindermangel Verdacht Formüberhitzung Schleifnacharbeit notwendig,0,3,3,48,34,20,0,0,4,1,4,5,62,90,35,69,28,35
Bearbeitungsfehler Kernschale Verschleiß Sandbindermangel Teil,0,0,0,54,40,26,0,0,0,0,0,0,-1,-1,-1,36,-1,30
Bearbeitungsfehler Kernschale Verschleiß Sandbindermangel Teil,0,0,0,54,40,26,0,0,0,0,0,0,-1,-1,-1,36,-1,30
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Kaltlauf Wärmenachbehandlung eingeleitet,2,4,6,27,-1,-1,2,0,2,0,6,6,-1,33,12,27,8,-1
Lunker an Radträger Charge Nacharbeit gemäß,1,1,1,1,2,2,1,1,1,3,1,3,8,26,3,23,2,21
Kernbruch Ursache Sandbindermangel,0,0,0,61,44,29,0,2,0,2,0,2,43,1,22,1,15,1
Dichtheitsprüfung Fehler HandlingSchaden mbarmin vs max Kaltlauf Chargenanalyse C Si,1,1,5,17,13,4,1,0,1,0,5,6,2,34,1,30,1,25
Legierungsabweichung Mg Lunker vs Soll HandlingSchaden konform Schleifnacharbeit notwendig,0,3,3,46,33,-1,0,0,4,1,4,5,47,68,25,54,18,35
Dichtheitsprüfung Fehler Sandausbruch mbarmin vs max Sandbindermangel,0,4,4,31,24,15,0,1,0,1,0,1,43,84,22,28,15,23
Kokillenriss an Radträger Charge Verdacht Formüberhitzung Schleifnacharbeit notwendig,1,1,1,1,2,2,1,1,1,3,1,3,8,26,3,23,2,21
Röntgenprüfung zeigt Sandausbruch in Zone Sandausbruch,2,2,2,35,27,17,2,1,2,3,6,1,-1,72,-1,57,-1,44
Härteprüfung Sandausbruch HandlingSchaden vs Kernschale Verschleiß Gießparameter optimiert,0,4,4,36,21,13,0,1,4,3,4,3,70,39,42,33,28,19
Röntgenprüfung zeigt Lunker in Zone Sandbindermangel,2,2,2,35,27,17,2,1,2,3,6,1,41,72,21,57,13,44
Bearbeitungsfehler Kaltlauf Kaltlauf Teil konform Nacharbeit gemäß,0,0,0,-1,-1,-1,0,0,2,0,2,0,-1,35,-1,31,-1,26
Härteprüfung Sandausbruch Lunker vs Sandbindermangel,0,3,3,51,37,23,0,0,4,1,4,5,74,114,43,83,28,47
Kernbruch Ursache HandlingSchaden,0,0,0,50,36,22,0,2,4,2,0,2,27,21,13,18,9,15
Legierungsabweichung Mg HandlingSchaden vs Soll Sandbindermangel Schleifnacharbeit notwendig,0,3,3,-1,-1,-1,0,0,4,1,4,5,34,68,-1,54,-1,35
Qualitätsabweichung Kernschale Verschleiß HandlingSchaden ¦ Raueit Ra ¦ Chargenanalyse Mg Ti Schleifnacharbeit notwendig,1,1,5,-1,-1,4,1,0,1,0,5,6,2,82,1,63,1,48
Härteprüfung Kaltlauf Sandbindermangel vs Sandbindermangel Verdacht Sandfeuchteabweichung Nacharbeit gemäß,0,3,3,-1,-1,-1,0,0,4,1,4,5,59,114,34,83,27,47
Härteprüfung Lunker Kernschale Verschleiß vs Sandausbruch Chargenanalyse Mg Ti Schleifnacharbeit notwendig,1,1,5,17,13,4,1,0,1,0,5,6,2,-1,1,-1,1,-1
Legierungsabweichung Si Sandausbruch vs Soll Sandbindermangel Kernreparatur läuft,0,3,3,48,34,20,0,0,4,1,4,5,49,90,-1,69,-1,35
Oberflächenrauheit Kaltlauf außerhalb Spezifikation Kernreparatur läuft,2,0,6,-1,32,19,2,2,2,2,6,2,40,5,20,5,13,5
Formversatz an Getriebegehäuse Charge Prüfbericht,1,1,1,1,2,2,1,1,1,3,1,3,8,27,3,24,2,22
Qualitätsabweichung Sandausbruch Sandbindermangel Raueit Ra Prüfbericht,0,0,0,-1,-1,-1,0,0,0,0,0,0,65,-1,38,74,24,57
Sandfeuchte Lunker außerhalb Toleranz Normabweichung,0,0,0,52,38,24,0,0,0,1,0,0,68,-1,40,-1,24,-1
Formdruckabweichung Kaltlauf vs Kernschale Verschleiß Form,0,3,3,-1,-1,18,0,0,4,1,4,5,-1,98,-1,72,-1,55
Ausschuss Funktionstest an Getriebegehäuse Ursache Lunker Nacharbeit gemäß,2,0,0,19,15,-1,2,0,2,0,6,0,-1,87,-1,49,-1,38
Röntgenprüfung zeigt Kokillenriss in Zone Sandausbruch nicht konform,2,2,2,35,27,17,2,1,2,3,6,1,41,62,21,51,13,40
Sandfeuchte Kaltlauf außerhalb Toleranz,0,0,0,58,-1,-1,0,0,0,0,2,0,55,43,32,37,25,-1
Dichtheitsprüfung Fehler Kernschale Verschleiß mbarmin vs max HandlingSchaden,0,4,4,30,23,14,0,1,0,1,0,1,31,19,15,19,10,17
Maßabweichung Lunker Lunkermm vs Kaltlauf±HandlingSchadenmm Prüfbericht Wärmenachbehandlung eingeleitet,2,3,6,-1,-1,-1,2,0,2,1,2,5,-1,66,-1,53,-1,43
