Zeitstempel,Teilenummer,Kategorie,Kommentar,Schweregrad,Charge,Werk
2024-05-13T16:37:39,GX-05200,endpruefung,Härteprüfung Lunker: Kernschale Verschleiß HV vs. Lunker | Kernreparatur läuft,2.0,CH-Bvij-1585,Gießerei Leipzig
2024-09-21T02:44:43,GX-32193,gussfehler,Qualitätsabweichung Kernschale Verschleiß: Handling-Schaden | Raueit Ra 10.1 µm | Nacharbeit gemäß VDA 6.3,1.0,CH-saVr-3369,Gießerei Stuttgart
2024-05-03T02:57:35,GX-27935,schmelzprozess,Legierungsabweichung Ti: Kaltlauf% vs. Soll Lunker% | Schleifnacharbeit notwendig,1.0,CH-QRWB-9446,Gießerei Stuttgart
2024-09-21T23:13:38,GX-34934,formprozess,,1.0,CH-CqRs-9779,Gießerei Wolfsburg
2024-06-21T11:57:19,GX-38715,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 733°C | Gießparameter optimiert,2.0,CH-qJon-0554,Gießerei Stuttgart
2024-08-04T04:44:25,GX-94658,formprozess,Sandfeuchte Lunker% außerhalb Toleranz (2.8-3.2%) | IATF-Konformität: konform | Schleifnacharbeit notwendig,2.0,CH-liGZ-6741,Gießerei Leipzig
2024-09-17T22:57:28,GX-08661,endpruefung,Dichtheitsprüfung Fehler: Sandausbruch mbar/min vs. max Sandbindermangel | Wärmenachbehandlung eingeleitet,2.0,CH-YgaI-8462,Gießerei Stuttgart
2025-01-26T23:04:45,GX-77735,gussfehler,Qualitätsabweichung Sandbindermangel: Kaltlauf | Raueit Ra 11.1 µm (Verdacht: Sandfeuchteabweichung),3.0,CH-itlj-0474,Gießerei Stuttgart
2024-11-28T13:31:44,GX-71579,nachbearbeitung,Bearbeitungsfehler Lunker: Sandbindermangel | Teil GX-71579 | Normabweichung: DIN 1681,1.0,CH-ZVOx-9063,Gießerei Wolfsburg
2024-09-27T03:11:29,GX-94916,nachbearbeitung,Oberflächenrauheit Sandbindermangel µm außerhalb Spezifikation | Normabweichung: ISO 8062,2.0,CH-GMYd-0502,Gießerei Wolfsburg
2024-05-29T07:27:34,GX-01424,nachbearbeitung,Maßabweichung Kaltlauf: Lunkermm vs. Sandausbruch±Lunkermm | Gießparameter optimiert,1.0,CH-ckjD-6508,Gießerei Stuttgart
2024-04-30T06:13:01,GX-29526,formprozess,Formdruckabweichung Handling-Schaden bar vs. Lunker bar | Form FORM-Xp48,1.0,CH-SFFi-1820,Gießerei Stuttgart
2024-08-13T20:02:56,GX-56040,gussfehler,Lunker an Radträger (GX-56040) | Charge CH-bkOi-4744 | IATF-Konformität: nicht konform | Nacharbeit gemäß VDA 6.3,1.0,CH-bkOi-4744,Gießerei Leipzig
2024-07-20T14:27:26,GX-11680,nachbearbeitung,Bearbeitungsfehler Sandausbruch: Sandausbruch | Teil GX-11680 | Normabweichung: DIN 1681,1.0,CH-XvxT-3121,Gießerei Wolfsburg
2024-11-13T14:54:47,GX-48384,endpruefung,Röntgenprüfung zeigt Formversatz in Zone Lunker,2.0,CH-qJCY-6849,Gießerei Wolfsburg
2024-11-23T00:41:10,GX-21770,schmelzprozess,Legierungsabweichung Ti: Lunker% vs. Soll Lunker% | Normabweichung: ISO 8062 | Gießparameter optimiert,2.0,CH-HkIL-2195,Gießerei Wolfsburg
2025-02-08T12:00:50,GX-30485,nachbearbeitung,Maßabweichung Sandbindermangel: Kernschale Verschleißmm vs. Kaltlauf±Sandausbruchmm (Verdacht: Legierungsdrift),1.0,CH-usSq-6222,Gießerei Wolfsburg
2024-07-27T18:45:23,GX-23341,gussfehler,Kaltlauf an Zylinderkopf (GX-23341) | Charge CH-jWiT-6860 | Normabweichung: ISO 8062 | Kernreparatur läuft,1.0,CH-jWiT-6860,Gießerei Leipzig
2024-08-17T03:49:19,GX-66909,schmelzprozess,Legierungsabweichung Si: Kernschale Verschleiß% vs. Soll Kaltlauf%,1.0,CH-CZsW-6102,Gießerei Leipzig
2024-09-16T11:09:08,GX-74046,nachbearbeitung,Bearbeitungsfehler Kaltlauf: Sandausbruch // Teil GX-74046,1.0,CH-uckD-1144,Gießerei Wolfsburg
2025-01-18T12:28:11,GX-86177,formprozess,Formdruckabweichung Sandbindermangel bar vs. Lunker bar ¦ Form FORM-FL31,1.0,CH-NxLZ-7782,Gießerei Leipzig
2024-10-20T11:46:03,GX-52372,formprozess,Sandfeuchte Sandbindermangel% außerhalb Toleranz (2.8-3.2%) | Wärmenachbehandlung eingeleitet,3.0,CH-XCAC-2796,Gießerei Stuttgart
2024-05-17T22:17:16,GX-50497,nachbearbeitung,Maßabweichung Sandausbruch: Lunkermm vs. Sandausbruch±Kernschale Verschleißmm,1.0,CH-Edpe-4742,Gießerei Stuttgart
2024-12-09T05:46:59,GX-42255,nachbearbeitung,Bearbeitungsfehler Sandbindermangel: Lunker | Teil GX-42255 | Prüfbericht: PRF-02555,2.0,CH-AzsX-3980,Gießerei Wolfsburg
2024-08-03T08:23:32,GX-61241,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 697°C (Verdacht: Legierungsdrift) | Nacharbeit gemäß VDA 6.3,1.0,CH-THux-6367,Gießerei Stuttgart
2024-10-14T23:55:07,GX-28052,gussfehler,Qualitätsabweichung Lunker: Lunker ¦ Dickenmaß: 119.8 mm ¦ Normabweichung: DIN 1681,1.0,CH-ramy-0025,Gießerei Leipzig
2024-06-15T20:05:48,GX-25519,nachbearbeitung,Maßabweichung Lunker: Sandbindermangelmm vs. Sandbindermangel±Kernschale Verschleißmm | IATF-Konformität: teilkonform,1.0,CH-gPZI-3220,Gießerei Stuttgart
2024-08-13T00:33:23,GX-76329,schmelzprozess,Spektralanalyse zeigt Ti-Mangel | Charge CH-wfPN-3029 | Normabweichung: DIN 1681 | Kernreparatur läuft,1.0,CH-wfPN-3029,Gießerei Leipzig
2024-03-22T17:49:44,GX-87336,nachbearbeitung,Maßabweichung Handling-Schaden: Lunkermm vs. Handling-Schaden±Sandbindermangelmm | Normabweichung: VDA 6.3,2.0,CH-VESd-5266,Gießerei Leipzig
2024-07-07T07:49:55,GX-33171,schmelzprozess,Spektralanalyse zeigt Ti-Mangel | Charge CH-VIkD-8685 | Normabweichung: VDA 6.3 | Wärmenachbehandlung eingeleitet,1.0,CH-VIkD-8685,Gießerei Stuttgart
2024-08-04T18:13:38,GX-31685,formprozess,Sandfeuchte Sandausbruch% außerhalb Toleranz (2.8-3.2%) | Gießparameter optimiert,1.0,CH-AfVn-2260,Gießerei Stuttgart
2024-11-20T02:58:12,GX-65474,nachbearbeitung,Bearbeitungsfehler Kaltlauf: Handling-Schaden | Teil GX-65474 (Verdacht: Formüberhitzung),2.0,CH-JKav-7621,Gießerei Wolfsburg
2024-12-25T04:54:34,GX-96664,formprozess,Formdruckabweichung Kaltlauf bar vs. Sandausbruch bar | Form FORM-ZB54 | Prüfbericht: PRF-41752 | Schleifnacharbeit notwendig,1.0,CH-qwFt-0184,Gießerei Leipzig
2024-04-29T09:58:59,GX-34876,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 668°C (Verdacht: Formüberhitzung),1.0,CH-fNWT-5942,Gießerei Wolfsburg
2025-02-13T18:07:06,GX-78306,endpruefung,Dichtheitsprüfung Fehler: Kernschale Verschleiß mbar/min vs. max Sandbindermangel (Verdacht: Legierungsdrift),3.0,CH-UIVQ-5845,Gießerei Wolfsburg
2024-12-19T09:45:53,GX-47357,formprozess,Kernbruch K-1892 | Ursache: Sandbindermangel,1.0,CH-yOqn-4219,Gießerei Stuttgart
2024-08-30T07:55:27,GX-30081,endpruefung,Röntgenprüfung zeigt Kokillenriss in Zone Kaltlauf // Prüfbericht: PRF-31776 | Kernreparatur läuft,1.0,UNBEKANNT,Gießerei Stuttgart
2024-07-07T14:06:49,GX-66354,formprozess,Sandfeuchte Sandbindermangel% außerhalb Toleranz (2.8-3.2%) | Prüfbericht: PRF-63546 | Gießparameter optimiert,1.0,CH-lEPD-5245,Gießerei Wolfsburg
2024-07-31T21:46:38,GX-67162,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 682°C | Nacharbeit gemäß VDA 6.3,1.0,CH-ZxjH-8713,Gießerei Stuttgart
2024-10-25T23:56:30,GX-16151,formprozess,Sandfeuchte Kernschale Verschleiß% außerhalb Toleranz (2.8-3.2%) | Nacharbeit gemäß VDA 6.3,2.0,UNBEKANNT,Gießerei Wolfsburg
2024-09-29T05:02:17,GX-99610,formprozess,Formdruckabweichung Lunker bar vs. Sandbindermangel bar // Form FORM-Uo32 // Prüfbericht: PRF-78986 | Nacharbeit gemäß VDA 6.3,2.0,CH-mGKe-8405,Gießerei Wolfsburg
2024-08-14T12:12:36,GX-78526,endpruefung,Härteprüfung Sandausbruch: Kaltlauf HV vs. Sandausbruch | Prüfbericht: PRF-50869 | Wärmenachbehandlung eingeleitet,1.0,CH-OKtV-5286,Gießerei Stuttgart
2024-11-18T06:16:53,GX-48808,endpruefung,Dichtheitsprüfung Fehler: Sandausbruch mbar/min vs. max Sandausbruch | Gießparameter optimiert,1.0,CH-npNl-4190,Gießerei Wolfsburg
2024-05-27T01:25:34,GX-73164,nachbearbeitung,Oberflächenrauheit Kaltlauf µm außerhalb Spezifikation | Normabweichung: DIN 1681,2.0,CH-eapU-7113,Gießerei Leipzig
2024-03-25T12:36:36,GX-14913,gussfehler,Qualitätsabweichung Sandbindermangel: Sandbindermangel // Porosität: 1.1 mm² // Prüfbericht: PRF-43345,2.0,CH-WYnf-5328,Gießerei Stuttgart
2025-01-19T16:29:40,GX-86454,gussfehler,"Ausschuss Funktionstest an Radträger | Ursache: Sandfeuchte zu hoch (≥3.5%) | Chargenanalyse: Mg:0.4%, Ti:0.1% | Schleifnacharbeit notwendig",1.0,CH-sMuH-2227,Gießerei Wolfsburg
2025-02-07T07:16:16,GX-57080,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 721°C | Kernreparatur läuft,1.0,CH-NyqP-1296,Gießerei Wolfsburg
2024-09-02T02:49:59,GX-22305,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 720°C | Wärmenachbehandlung eingeleitet,1.0,CH-tgOa-4114,Gießerei Leipzig
2024-04-01T10:08:01,GX-15098,schmelzprozess,Spektralanalyse zeigt Ti-Mangel | Charge CH-dhvK-2553 | Prüfbericht: PRF-27872 | Schleifnacharbeit notwendig,1.0,CH-dhvK-2553,Gießerei Stuttgart
2024-11-06T05:27:13,GX-22279,endpruefung,,2.0,CH-bCmC-5232,Gießerei Stuttgart
2025-02-08T21:39:02,GX-07419,endpruefung,Röntgenprüfung zeigt Kaltlauf in Zone Kaltlauf,1.0,CH-Zdvv-4803,Gießerei Stuttgart
2025-01-26T00:15:37,GX-54293,nachbearbeitung,Bearbeitungsfehler Handling-Schaden: Lunker | Teil GX-54293 | Nacharbeit gemäß VDA 6.3,2.0,CH-AcNs-2033,Gießerei Wolfsburg
2024-10-07T11:43:36,GX-77657,nachbearbeitung,"Maßabweichung Sandbindermangel: Sandbindermangelmm vs. Sandbindermangel±Sandausbruchmm | Chargenanalyse: Mg:0.4%, Ti:0.1%",2.0,CH-FYAU-2177,Gießerei Wolfsburg
2024-08-31T13:35:29,GX-18384,schmelzprozess,Legierungsabweichung Ti: Handling-Schaden% vs. Soll Kaltlauf% (Verdacht: Formüberhitzung),1.0,CH-pbVf-7545,Gießerei Leipzig
2024-07-05T08:26:51,GX-05213,gussfehler,Ausschuss Materialfehler an Radträger | Ursache: Legierungsabweichung Si+0.3% (Verdacht: Sandfeuchteabweichung),1.0,CH-xAgt-5942,Gießerei Wolfsburg
2024-05-13T09:09:18,GX-32521,endpruefung,Härteprüfung Sandausbruch: Handling-Schaden HV vs. Kaltlauf (Verdacht: Legierungsdrift),1.0,CH-SSnz-9613,Gießerei Wolfsburg
2024-12-17T00:34:39,GX-00008,gussfehler,Qualitätsabweichung Kaltlauf: Sandausbruch | Raueit Ra 4.0 µm | IATF-Konformität: nicht konform,1.0,UNBEKANNT,Gießerei Wolfsburg
2025-01-04T19:47:09,GX-65388,gussfehler,Kokillenriss an Radträger (GX-65388) // Charge CH-RSEd-1086 // Normabweichung: DIN 1681,3.0,CH-RSEd-1086,Gießerei Wolfsburg
2025-03-04T10:37:20,GX-50832,formprozess,Formdruckabweichung Kernschale Verschleiß bar vs. Sandbindermangel bar | Form FORM-MS96 | Nacharbeit gemäß VDA 6.3,1.0,CH-HYhf-8304,Gießerei Stuttgart
2024-05-23T21:08:09,GX-43613,schmelzprozess,Schmelzofen Holding Furnace 2 Temp-Abweichung: 673°C,2.0,CH-bBTn-7741,Gießerei Wolfsburg
2024-03-20T07:50:52,GX-23864,endpruefung,Dichtheitsprüfung Fehler: Kernschale Verschleiß mbar/min vs. max Lunker; IATF-Konformität: nicht konform | Schleifnacharbeit notwendig,3.0,CH-YVmX-5682,Gießerei Stuttgart
2024-06-26T13:37:21,GX-85504,nachbearbeitung,Oberflächenrauheit Lunker µm außerhalb Spezifikation,2.0,CH-jQxf-3240,Gießerei Stuttgart
2025-01-03T15:15:22,GX-15389,,,,CH-vIKd-7080,Gießerei Wolfsburg
2025-03-03T12:22:41,GX-72203,,,,CH-jtAe-9837,Gießerei Wolfsburg
2024-04-08T20:18:46,GX-97224,schmelzprozess,"Spektralanalyse zeigt Ti-Mangel | Charge CH-yITz-7408 | Chargenanalyse: C:3.2%, Si:2.1% | Schleifnacharbeit notwendig",1.0,CH-yITz-7408,Gießerei Leipzig
2024-11-25T13:11:37,GX-40708,,,,CH-TKng-8734,Gießerei Leipzig
2024-05-13T23:18:44,GX-19127,nachbearbeitung,Oberflächenrauheit Kaltlauf µm außerhalb Spezifikation | Prüfbericht: PRF-37174,3.0,CH-vQWs-6082,Gießerei Wolfsburg
2024-07-03T14:13:35,GX-38904,gussfehler,Lunker an Radträger (GX-38904) | Charge CH-WEkC-1117 | IATF-Konformität: teilkonform,2.0,CH-WEkC-1117,Gießerei Stuttgart
2024-09-22T05:53:51,GX-81029,nachbearbeitung,Maßabweichung Kernschale Verschleiß: Kernschale Verschleißmm vs. Kaltlauf±Lunkermm ¦ Prüfbericht: PRF-78075 | Wärmenachbehandlung eingeleitet,1.0,CH-SToQ-6028,Gießerei Wolfsburg
2024-04-16T15:28:48,GX-17627,gussfehler,Qualitätsabweichung Sandausbruch: Sandbindermangel; Dickenmaß: 131.2 mm | Nacharbeit gemäß VDA 6.3,2.0,CH-BZfo-0609,Gießerei Wolfsburg
2025-02-09T18:05:35,GX-38197,endpruefung,Härteprüfung Handling-Schaden: Lunker HV vs. Handling-Schaden | IATF-Konformität: teilkonform | Nacharbeit gemäß VDA 6.3,3.0,CH-xHsV-7830,Gießerei Stuttgart
2025-03-04T19:03:20,GX-92692,endpruefung,Röntgenprüfung zeigt Formversatz in Zone Sandausbruch,1.0,CH-brVC-7299,Gießerei Leipzig
2024-08-22T15:03:34,GX-51126,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 680°C,1.0,CH-Sylz-1179,Gießerei Leipzig
2024-06-25T09:11:04,GX-06369,gussfehler,Kokillenriss an Radträger (GX-06369) | Charge CH-MSwz-2858,2.0,CH-MSwz-2858,Gießerei Stuttgart
2024-03-15T15:44:29,GX-38006,endpruefung,Röntgenprüfung zeigt Lunker in Zone Kernschale Verschleiß | Gießparameter optimiert,1.0,CH-JUPc-9446,Gießerei Wolfsburg
2024-07-17T13:41:22,GX-89196,endpruefung,Härteprüfung Kernschale Verschleiß: Kaltlauf HV vs. Handling-Schaden ¦ Prüfbericht: PRF-71069,1.0,CH-GGBg-8573,Gießerei Stuttgart
2024-08-05T00:02:55,GX-20396,nachbearbeitung,Bearbeitungsfehler Lunker: Kaltlauf | Teil GX-20396 | Normabweichung: DIN 1681 | Wärmenachbehandlung eingeleitet,1.0,CH-sTwd-4219,Gießerei Leipzig
2024-11-25T07:21:14,GX-67226,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 666°C ¦ IATF-Konformität: konform | Schleifnacharbeit notwendig,3.0,CH-rXSL-1418,Gießerei Stuttgart
2024-10-17T19:50:14,GX-30163,gussfehler,Formversatz an Getriebegehäuse (GX-30163) | Charge CH-Gryq-7244,2.0,CH-Gryq-7244,Gießerei Stuttgart
2025-03-05T06:42:43,GX-91310,formprozess,Formdruckabweichung Lunker bar vs. Sandbindermangel bar | Form FORM-Ye40,2.0,CH-yoWH-8499,Gießerei Wolfsburg
2024-12-09T08:23:48,GX-06374,endpruefung,Härteprüfung Kaltlauf: Sandausbruch HV vs. Handling-Schaden | Normabweichung: VDA 6.3,1.0,CH-omIV-7900,Gießerei Leipzig
2024-03-23T02:37:07,GX-67335,schmelzprozess,Legierungsabweichung Cu: Sandbindermangel% vs. Soll Sandausbruch% (Verdacht: Formüberhitzung),1.0,CH-nVYq-1126,Gießerei Stuttgart
2025-03-01T14:39:17,GX-98201,endpruefung,Röntgenprüfung zeigt Formversatz in Zone Lunker | Prüfbericht: PRF-06069 | Schleifnacharbeit notwendig,1.0,CH-nSgv-7280,Gießerei Stuttgart
2025-01-05T23:10:35,GX-24103,nachbearbeitung,Maßabweichung Kaltlauf: Sandausbruchmm vs. Lunker±Sandbindermangelmm; Normabweichung: ISO 8062,2.0,CH-Qimh-6200,Gießerei Leipzig
2025-01-27T19:28:05,GX-47252,,,,CH-ACDj-7936,Gießerei Stuttgart
2024-06-17T20:05:14,GX-21355,formprozess,Kernbruch K-1139; Ursache: Handling-Schaden | Kernreparatur läuft,3.0,CH-pdpd-3520,Gießerei Leipzig
2024-08-23T08:06:50,GX-04366,gussfehler,Qualitätsabweichung Sandbindermangel: Handling-Schaden | Dickenmaß: 99.7 mm,1.0,CH-ItfI-7825,Gießerei Wolfsburg
2024-11-06T10:38:35,GX-26796,endpruefung,Dichtheitsprüfung Fehler: Handling-Schaden mbar/min vs. max Handling-Schaden | Gießparameter optimiert,1.0,CH-HIul-1642,Gießerei Wolfsburg
2024-10-15T22:22:01,GX-83108,endpruefung,Röntgenprüfung zeigt Lunker in Zone Kaltlauf,1.0,CH-HaLD-1562,Gießerei Wolfsburg
2024-07-02T18:02:57,GX-82033,formprozess,Kernbruch K-1360 | Ursache: Sandbindermangel,1.0,CH-zxQR-9730,Gießerei Stuttgart
2024-12-12T03:02:56,GX-80953,gussfehler,Ausschuss Funktionstest an Zylinderkopf | Ursache: Lunker | Nacharbeit gemäß VDA 6.3,2.0,CH-tDyU-9699,Gießerei Leipzig
2024-03-27T23:37:04,GX-67619,formprozess,Formdruckabweichung Kernschale Verschleiß bar vs. Sandbindermangel bar | Form FORM-Bh24 | Prüfbericht: PRF-95740 | Nacharbeit gemäß VDA 6.3,2.0,CH-xRRy-2357,Gießerei Wolfsburg
2024-03-24T22:23:41,GX-82521,schmelzprozess,Spektralanalyse zeigt Mg-Mangel ¦ Charge CH-iTKn-2976 | Kernreparatur läuft,1.0,CH-iTKn-2976,Gießerei Leipzig
2024-07-20T03:36:00,GX-34470,endpruefung,Röntgenprüfung zeigt Lunker in Zone Kaltlauf; Prüfbericht: PRF-78527 | Nacharbeit gemäß VDA 6.3,2.0,CH-OgWA-3380,Gießerei Leipzig
2024-07-22T06:22:51,GX-77480,formprozess,Formdruckabweichung Kernschale Verschleiß bar vs. Sandausbruch bar | Form FORM-AR56 | Prüfbericht: PRF-28459,1.0,CH-JjSK-9125,Gießerei Wolfsburg
2024-08-21T15:41:08,GX-28784,schmelzprozess,Spektralanalyse zeigt Si-Mangel | Charge CH-UsoV-9718 | Prüfbericht: PRF-50236 | Schleifnacharbeit notwendig,1.0,CH-UsoV-9718,Gießerei Leipzig
2025-01-17T15:24:45,GX-69697,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 700°C | Nacharbeit gemäß VDA 6.3,1.0,CH-dUFX-8247,Gießerei Wolfsburg
2024-11-20T21:26:59,GX-55033,nachbearbeitung,Oberflächenrauheit Kaltlauf µm außerhalb Spezifikation,1.0,CH-hzgW-3210,Gießerei Wolfsburg
2025-02-21T11:29:40,GX-93369,gussfehler,Gasporosität an Getriebegehäuse (GX-93369) | Charge CH-Enig-3136 | Prüfbericht: PRF-70766,1.0,CH-Enig-3136,Gießerei Wolfsburg
2024-04-28T03:12:51,GX-15696,schmelzprozess,Schmelzofen Schmelzofen 1 Temp-Abweichung: 716°C,1.0,CH-EyxT-0087,Gießerei Stuttgart
2024-07-01T03:37:29,GX-46383,schmelzprozess,"Spektralanalyse zeigt Si-Mangel | Charge CH-NPGc-5761 | Chargenanalyse: Mg:0.4%, Ti:0.1%",2.0,CH-NPGc-5761,Gießerei Stuttgart
2024-06-27T02:23:13,GX-98989,gussfehler,"Qualitätsabweichung Lunker: Kernschale Verschleiß | Dickenmaß: 105.1 mm | Chargenanalyse: Mg:0.4%, Ti:0.1% | Wärmenachbehandlung eingeleitet",1.0,CH-rEJx-8346,Gießerei Leipzig
2025-01-16T23:53:00,GX-16370,,,,CH-UIpA-6133,Gießerei Wolfsburg
2024-08-15T08:04:14,GX-79245,nachbearbeitung,Bearbeitungsfehler Handling-Schaden: Kaltlauf | Teil GX-79245 | Prüfbericht: PRF-57973 | Wärmenachbehandlung eingeleitet,1.0,CH-OLyE-6316,Gießerei Wolfsburg
2025-02-14T21:35:48,GX-83672,endpruefung,Härteprüfung Handling-Schaden: Kaltlauf HV vs. Handling-Schaden | Normabweichung: DIN 1681 | Nacharbeit gemäß VDA 6.3,2.0,CH-CPUJ-1373,Gießerei Wolfsburg
2024-11-24T19:55:16,GX-76825,,,,CH-qwLt-1984,Gießerei Stuttgart
2024-04-13T22:36:56,GX-49946,nachbearbeitung,Bearbeitungsfehler Kernschale Verschleiß: Lunker | Teil GX-49946 | Gießparameter optimiert,2.0,CH-XCPc-5083,Gießerei Leipzig
2024-06-07T12:16:34,GX-34152,formprozess,Formdruckabweichung Lunker bar vs. Sandbindermangel bar ¦ Form FORM-GB51,2.0,CH-UNEG-8217,Gießerei Wolfsburg
2024-09-29T21:54:42,GX-30309,endpruefung,Dichtheitsprüfung Fehler: Lunker mbar/min vs. max Handling-Schaden | Kernreparatur läuft,1.0,CH-sjLi-1092,Gießerei Wolfsburg
2024-09-05T19:57:30,GX-48507,gussfehler,Kokillenriss an Zylinderkopf (GX-48507) | Charge CH-MMyY-9245 | Normabweichung: VDA 6.3 | Gießparameter optimiert,2.0,CH-MMyY-9245,Gießerei Leipzig
